数据生成时间：2021-01-06 11:21
数据生成条件：
1. 时间范围：20210105
2. 时间单位：分日
3. 推广设备：移动设备，计算机

账户,日期,推广计划,展现,点击,消费,平均点击价格,点击率,网页转化,商桥转化,推广计划ID
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-动态壁纸1",41123,2429,848.98,0.35,5.91%,0,0,129556498
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-桌面壁纸4",189148,9645,2263.43,0.23,5.10%,0,0,129899372
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-电脑壁纸3",127349,2240,562.03,0.25,1.76%,0,0,130082123
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-高清壁纸5",108539,4289,903.08,0.21,3.95%,0,0,130082124
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-动态桌面8",4999,330,99.90,0.30,6.60%,0,0,130507724
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-电脑桌面壁纸10",49462,1340,354.75,0.26,2.71%,0,0,130507725
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-电脑桌面9",93733,1943,562.06,0.29,2.07%,0,0,130507726
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-壁纸软件7",32582,2728,1246.25,0.46,8.37%,0,0,130507727
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-壁纸-可爱",10431,631,116.37,0.18,6.05%,0,0,131435942
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-壁纸-动漫",52673,1008,241.79,0.24,1.91%,0,0,131435943
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-壁纸-英雄联盟",7874,446,98.93,0.22,5.66%,0,0,131435944
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-壁纸-美女",14219,894,181.64,0.20,6.29%,0,0,131584460
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-壁纸-风景",7951,253,45.18,0.18,3.18%,0,0,131584461
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-壁纸-明星",37624,1124,190.61,0.17,2.99%,0,0,131585678
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-壁纸-萌宠",2465,104,17.60,0.17,4.22%,0,0,131585679
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-皮卡丘",642,58,9.58,0.17,9.03%,0,0,131764520
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-汽车",8146,234,42.83,0.18,2.87%,0,0,131764521
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-神奇宝贝",510,24,4.97,0.21,4.71%,0,0,131764527
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-火影",7295,360,79.27,0.22,4.93%,0,0,131764529
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-海贼王",10056,637,130.61,0.21,6.33%,0,0,131764531
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-蜡笔小新",1835,147,31.36,0.21,8.01%,0,0,131764533
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-柯南",991,56,9.95,0.18,5.65%,0,0,131764535
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-初音未来",761,39,7.21,0.18,5.12%,0,0,131764536
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-刀剑神域",373,16,3.15,0.20,4.29%,0,0,131764537
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-奥特曼",3108,281,62.50,0.22,9.04%,0,0,131764538
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-变形金刚",605,20,3.56,0.18,3.31%,0,0,131764539
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-二次元动漫",31005,759,187.40,0.25,2.45%,0,0,131764540
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-动物",1508,21,3.42,0.16,1.39%,0,0,131764542
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-哆啦a梦",2411,151,25.37,0.17,6.26%,0,0,131764543
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-阿狸",529,33,6.05,0.18,6.24%,0,0,131764544
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-CF",350,13,2.61,0.20,3.71%,0,0,131824971
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-大海",739,22,3.40,0.15,2.98%,0,0,131824974
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-城市",760,2,0.43,0.21,0.26%,0,0,131824975
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-星空",5099,311,52.91,0.17,6.10%,0,0,131824976
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-我的世界",450,19,3.90,0.21,4.22%,0,0,131824977
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-田园",376,0,0.00,0.00,0.00%,0,0,131824978
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-游戏",3905,69,13.78,0.20,1.77%,0,0,131824980
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-王者",5041,199,48.80,0.25,3.95%,0,0,131829999
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-足球",754,24,4.54,0.19,3.18%,0,0,131850520
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-篮球",3922,113,23.23,0.21,2.88%,0,0,131850521
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-插画",2891,26,4.94,0.19,0.90%,0,0,131897712
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-少女",318,5,0.84,0.17,1.57%,0,0,131898445
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-唯美",942,64,12.55,0.20,6.79%,0,0,131900123
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-fate",1137,58,11.25,0.19,5.10%,0,0,131900124
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-碧蓝航线",278,12,2.26,0.19,4.32%,0,0,131900125
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-4K",20314,1409,339.25,0.24,6.94%,0,0,131902866
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-小清新",4403,461,83.05,0.18,10.47%,0,0,131903587
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-宇宙",2312,27,6.01,0.22,1.17%,0,0,131911678
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-鬼刀",4268,305,72.22,0.24,7.15%,0,0,131924180
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-天气之子",245,34,5.25,0.15,13.88%,0,0,131929899
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-你的名字",2031,90,18.72,0.21,4.43%,0,0,131932303
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-壁纸少女心",2155,136,23.23,0.17,6.31%,0,0,131934713
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-守望先锋",971,41,7.69,0.19,4.22%,0,0,131953638
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-鬼灭之刃",4428,327,65.22,0.20,7.38%,0,0,131953639
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-崩坏3",717,18,3.43,0.19,2.51%,0,0,131953640
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-绿色护眼",8601,562,95.90,0.17,6.53%,0,0,132056514
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-男生壁纸",168,11,1.72,0.16,6.55%,0,0,132057526
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-简约",5784,544,100.69,0.19,9.41%,0,0,132058468
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-win壁纸",58428,916,226.27,0.25,1.57%,0,0,132100719
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-JOJO",455,27,4.76,0.18,5.93%,0,0,132141870
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-刺客伍六七",1047,65,10.75,0.17,6.21%,0,0,132144055
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-明日方舟",710,7,1.20,0.17,0.99%,0,0,132144056
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-漫威",3369,165,33.84,0.21,4.90%,0,0,132151695
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-古风壁纸",1023,36,6.55,0.18,3.52%,0,0,132152007
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-魔法少女小圆",40,2,0.41,0.20,5.00%,0,0,132152008
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-尼尔机械纪元",259,11,1.96,0.18,4.25%,0,0,132152009
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-海洋",1119,36,7.08,0.20,3.22%,0,0,132153626
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-科幻",2395,37,8.82,0.24,1.54%,0,0,132153627
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-蕾姆壁纸",279,15,2.83,0.19,5.38%,0,0,132153628
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-竞品软件",26487,3316,896.40,0.27,12.52%,0,0,132342399
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-紫罗兰永恒花园",417,26,4.23,0.16,6.24%,0,0,132353116
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-蜘蛛侠壁纸",197,3,1.13,0.38,1.52%,0,0,132353117
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-七龙珠壁纸",821,48,9.29,0.19,5.85%,0,0,132353118
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-龙猫壁纸",3603,126,22.95,0.18,3.50%,0,0,132353119
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-冰雪奇缘壁纸",177,4,0.71,0.18,2.26%,0,0,132353120
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-塞尔达传说",245,6,1.09,0.18,2.45%,0,0,132367128
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-路人女主养成方法",295,7,1.70,0.24,2.37%,0,0,132367129
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-进击的巨人",871,39,8.00,0.21,4.48%,0,0,132367130
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-小黄人",467,37,5.98,0.16,7.92%,0,0,132371900
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-搞怪搞笑",583,36,6.10,0.17,6.17%,0,0,132371901
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-公主连结壁纸",47,2,0.39,0.20,4.26%,0,0,132377556
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-高达壁纸",4860,102,20.16,0.20,2.10%,0,0,132377557
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-02壁纸",905,97,18.63,0.19,10.72%,0,0,132377559
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-洛天依壁纸",205,9,2.02,0.22,4.39%,0,0,132377561
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-夏目友人帐",981,48,10.38,0.22,4.89%,0,0,132407137
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-小埋壁纸",201,4,0.72,0.18,1.99%,0,0,132407138
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-樱花",247,3,0.57,0.19,1.21%,0,0,132407139
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-黑色壁纸",3065,157,26.37,0.17,5.12%,0,0,132407140
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-欧美壁纸",249,6,1.18,0.20,2.41%,0,0,132407143
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-詹姆斯壁纸",884,44,10.26,0.23,4.98%,0,0,132407144
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-C罗壁纸",466,9,1.88,0.21,1.93%,0,0,132425478
