数据生成时间：2021-01-06 11:21
数据生成条件：
1. 时间范围：20210105
2. 时间单位：分日
3. 推广设备：移动设备，计算机

账户,日期,推广计划,展现,点击,消费,平均点击价格,点击率,网页转化,商桥转化,推广计划ID
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-DNF壁纸",1113,66,12.76,0.19,5.93%,0,0,132425479
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-乔丹壁纸",189,4,0.62,0.15,2.12%,0,0,132425481
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-天行九歌壁纸",448,50,9.64,0.19,11.16%,0,0,132425482
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-温馨壁纸",359,1,0.15,0.15,0.28%,0,0,132425483
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-阿丽塔壁纸",119,4,0.86,0.21,3.36%,0,0,132425484
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-斗罗大陆",1803,69,17.54,0.25,3.83%,0,0,132425485
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-行业词",789266,18441,5504.33,0.30,2.34%,0,0,132517086
"baidu-4重庆天极B20KA03223","2021-01-05","行业定投-壁纸",58021,4997,1520.63,0.30,8.61%,0,0,132678735
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-ins风",9152,828,154.52,0.19,9.05%,0,0,133003619
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-EVA",1059,56,9.55,0.17,5.29%,0,0,133160383
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-最终幻想",248,7,1.05,0.15,2.82%,0,0,133160384
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-千与千寻",684,17,2.86,0.17,2.49%,0,0,133160385
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-魔兽世界",1909,85,17.69,0.21,4.45%,0,0,133160386
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-布朗熊",700,26,4.17,0.16,3.71%,0,0,133269925
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-黑岩射手",12,1,0.23,0.23,8.33%,0,0,133269927
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-魔道祖师",519,5,0.79,0.16,0.96%,0,0,133269929
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-百变小樱",351,7,0.99,0.14,1.99%,0,0,133358221
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-梦幻",119,11,1.85,0.17,9.24%,0,0,133373526
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-日系",267,9,1.69,0.19,3.37%,0,0,133740015
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-桌面整理",20875,716,169.79,0.24,3.43%,0,0,133922163
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-只狼壁纸",290,17,3.64,0.21,5.86%,0,0,133922827
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-一人之下壁纸",92,1,0.15,0.15,1.09%,0,0,133929555
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-美少女战士",2306,77,14.23,0.18,3.34%,0,0,134212266
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-灌篮高手",858,63,13.29,0.21,7.34%,0,0,134212267
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-锁屏壁纸",11976,308,61.28,0.20,2.57%,0,0,134442899
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-大鱼海棠",142,10,1.59,0.16,7.04%,0,0,134746340
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-假面骑士",540,33,5.69,0.17,6.11%,0,0,134746341
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-音乐壁纸",449,9,2.02,0.22,2.00%,0,0,134746343
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-粉色壁纸",1909,68,12.49,0.18,3.56%,0,0,135214862
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-秒速五厘米",131,2,0.26,0.13,1.53%,0,0,135214865
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-KDA壁纸",1760,262,48.56,0.19,14.89%,0,0,135289321
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-灵笼",124,12,2.46,0.20,9.68%,0,0,135289322
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-蒲公英壁纸",192,8,1.37,0.17,4.17%,0,0,135289324
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-赛博朋克",2012,137,27.07,0.20,6.81%,0,0,135289325
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-像素风壁纸",83,1,0.30,0.30,1.20%,0,0,135289326
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-原神壁纸",1526,41,7.42,0.18,2.69%,0,0,135289327
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-小丑壁纸",572,23,4.53,0.20,4.02%,0,0,135328211
"baidu-4重庆天极B20KA03223","2021-01-05","公司软件-壁纸软件1",1866,8,2.21,0.28,0.43%,0,0,136184469
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-你的名字IP",1821,3,0.66,0.22,0.16%,0,0,136406975
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-初音未来IP",2127,73,13.31,0.18,3.43%,0,0,136406977
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-鬼灭之刃IP",17907,218,46.34,0.21,1.22%,0,0,136600199
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-天气之子IP",1337,12,2.10,0.17,0.90%,0,0,136600202
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-鼠标",3600,487,88.85,0.18,13.53%,0,0,136872189
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-屏保",6774,141,28.60,0.20,2.08%,0,0,137317144
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-动态壁纸制作",1074,62,14.87,0.24,5.77%,0,0,137638380
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-时钟",11408,481,101.67,0.21,4.22%,0,0,137638381
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-musedash的壁纸",565,142,28.45,0.20,25.13%,0,0,139148762
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-天官赐福壁纸",1862,48,10.36,0.22,2.58%,0,0,140835973
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-美食",202,7,1.09,0.16,3.47%,0,0,131764522
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-花",255,11,1.60,0.15,4.31%,0,0,131824972
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-星球大战",148,3,0.45,0.15,2.03%,0,0,132152010
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-小林家的龙女仆",117,2,0.45,0.23,1.71%,0,0,132425488
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-灵魂莲华",114,5,0.96,0.19,4.39%,0,0,133269926
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-hellokitty",554,20,3.49,0.17,3.61%,0,0,134712589
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-电影壁纸",59,1,0.15,0.15,1.69%,0,0,135214863
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-下雨壁纸",140,7,1.47,0.21,5.00%,0,0,135214864
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-梅西壁纸",296,7,1.36,0.19,2.36%,0,0,132407142
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-锦鲤壁纸",141,4,0.82,0.20,2.84%,0,0,132425487
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-一拳超人壁纸",245,12,2.05,0.17,4.90%,0,0,132425489
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-咱们裸熊",156,2,0.42,0.21,1.28%,0,0,133478740
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-愤怒的小鸟",93,8,1.65,0.21,8.60%,0,0,132371899
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-哪吒壁纸",84,4,0.65,0.16,4.76%,0,0,132425480
"baidu-4重庆天极B20KA03223","2021-01-05","壁纸-埃罗芒阿老师",79,3,0.45,0.15,3.80%,0,0,132367131
