数据生成时间：2021-01-06 06:37
数据生成条件：
1. 时间范围：20210105
2. 时间单位：分日
3. 推广设备：移动设备，计算机

账户,日期,推广计划,展现,点击,消费,平均点击价格,点击率,网页转化,商桥转化,推广计划ID
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-优酷客户端",8806,218,79.77,0.37,2.48%,0,0,121786333
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-驾考宝典",3308,8,2.48,0.31,0.24%,0,0,121786340
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-酷我音乐",61135,1796,690.23,0.38,2.94%,0,0,121786341
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-暴风影音",17253,1457,510.61,0.35,8.44%,0,0,121786343
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-植物大战僵尸",11768,1844,546.53,0.30,15.67%,0,0,122122231
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-王者荣耀PC版",1390,52,13.84,0.27,3.74%,0,0,122372818
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-我的世界",49043,2705,737.12,0.27,5.52%,0,0,122408321
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-和平精英",14355,116,32.10,0.28,0.81%,0,0,122419492
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-钉钉电脑版",73406,1108,450.49,0.41,1.51%,0,0,122544734
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-zoom视频会议",660,71,25.46,0.36,10.76%,0,0,122824455
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-美图秀秀",68276,792,270.76,0.34,1.16%,0,0,122902400
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-香肠派对",410,17,5.27,0.31,4.15%,0,0,123187976
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-cctalk",90,0,0.00,0.00,0.00%,0,0,123216058
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-火狐浏览器",20017,2847,979.11,0.34,14.22%,0,0,123633509
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-WPS-excel",277951,2232,786.10,0.35,0.80%,0,0,124508595
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-万能五笔",46045,895,478.97,0.54,1.94%,0,0,124508596
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-WPS-word",154782,1800,546.89,0.30,1.16%,0,0,124508597
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-QQ五笔",2266,427,131.40,0.31,18.84%,0,0,124655010
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-千牛",12443,202,65.14,0.32,1.62%,0,0,128591252
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-迷你世界",13560,1241,330.47,0.27,9.15%,0,0,128778675
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-央视影音",5196,353,86.72,0.25,6.79%,0,0,128930672
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-快剪辑",3981,285,90.69,0.32,7.16%,0,0,128995933
"baidu-重庆天极A19KA02248","2021-01-05","公司软件-猎豹免费WIFI",2268,152,53.22,0.35,6.70%,0,0,129016606
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-光影魔术手",1862,1,0.20,0.20,0.05%,0,0,129173227
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-极品五笔输入法",2378,367,109.04,0.30,15.43%,0,0,129173229
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-极点五笔输入法",1930,56,15.19,0.27,2.90%,0,0,129173230
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-CAJViewer",17762,424,129.23,0.30,2.39%,0,0,129173233
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-PDF",29365,239,92.93,0.39,0.81%,0,0,129173236
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-foxmail",21908,624,176.36,0.28,2.85%,0,0,129173237
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-Rar解压软件",173267,10406,3851.20,0.37,6.01%,2,0,129173241
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-WPS-PPT",6088,271,63.67,0.23,4.45%,0,0,129173246
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-WPS",40970,994,335.87,0.34,2.43%,0,0,129173247
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-微师客户端",1392,99,18.33,0.19,7.11%,0,0,129173248
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-网易邮箱大师",9939,190,46.20,0.24,1.91%,0,0,129173249
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-洋葱教学",823,24,4.73,0.20,2.92%,0,0,129173254
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-逍遥笔手写输入法",58018,131,32.01,0.24,0.23%,0,0,129173255
"baidu-重庆天极A19KA02248","2021-01-05","行业定投-五笔输入法-搜狗",13394,152,48.67,0.32,1.13%,0,0,129173260
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-WIFI共享大师",40614,2094,585.32,0.28,5.16%,0,0,130088651
"baidu-重庆天极A19KA02248","2021-01-05","第三方软件-IE浏览器",56329,4219,1666.63,0.40,7.49%,1,0,132932873
