日期,渠道,软件ID,软件名称,PV,安全下载,普通下载,按钮3,按钮4,下载点击总数,调起,成功安装,下载/PV,调起/下载1+2,安装成功率,安装整体转化,当天报活率,新装卸载率,次日留存率,七日留存率,新装卸载数,次日留存数,七人留存数,重复安装量,重复安装比例
2020-12-30,206,343,WPS-Excel,189,114,0,0,0,114,58,50,60.32%,50.88%,86.21%,26.46%,None,None,,,None,None,None,None,None
2020-12-30,206,66,万能五笔,94,35,0,0,0,35,49,47,37.23%,140.00%,95.92%,50.00%,None,None,,,None,None,None,None,None
2020-12-30,206,17,搜狗拼音输入法,8322,6622,9,5,1,6637,4154,3872,79.68%,62.65%,93.21%,46.53%,None,None,,,None,None,None,93,2.40%
2020-12-30,206,41,搜狗五笔输入法,134,59,0,0,0,59,38,33,44.03%,64.41%,86.84%,24.63%,None,None,,,None,None,None,None,None
2020-12-30,206,399,wps2019,402,217,0,0,0,217,159,149,53.98%,73.27%,93.71%,37.06%,None,None,,,None,None,None,None,None
2020-12-30,206,64,金山打字通,1376,690,0,0,0,690,343,321,50.15%,49.71%,93.59%,23.33%,None,None,,,None,None,None,11,3.43%
2020-12-30,206,527,Minecraft,302,138,0,0,0,138,96,82,45.70%,69.57%,85.42%,27.15%,None,None,,,None,None,None,None,None
