日期,渠道,软件ID,软件名称,PV,安全下载,普通下载,按钮3,按钮4,下载点击总数,调起,成功安装,下载/PV,调起/下载1+2,安装成功率,安装整体转化,当天报活率,新装卸载率,次日留存率,七日留存率,新装卸载数,次日留存数,七人留存数,重复安装量,重复安装比例
2020-12-30,186,178,企业微信,145,125,0,0,0,125,69,64,86.21%,55.20%,92.75%,44.14%,None,None,,,None,None,None,None,None
2020-12-30,186,220,腾讯视频,98,63,2,3,0,68,47,37,66.33%,72.31%,78.72%,37.76%,None,None,,,None,None,None,None,None
2020-12-30,186,536,香肠派对,23,16,0,0,0,16,11,11,69.57%,68.75%,100.00%,47.83%,None,None,,,None,None,None,None,None
2020-12-30,186,343,WPS-Excel,711,536,14,34,9,593,320,291,77.36%,58.18%,90.94%,40.93%,None,None,,,None,None,None,11,3.78%
2020-12-30,186,246,TeamViewer,137,99,0,0,0,99,72,71,72.26%,72.73%,98.61%,51.82%,None,None,,,None,None,None,None,None
2020-12-30,186,35,网易云音乐,3262,1994,0,0,0,1994,1226,1142,61.13%,61.48%,93.15%,35.01%,None,None,,,None,None,None,92,8.06%
2020-12-30,186,162,网易邮箱大师,131,93,5,2,1,101,83,82,74.81%,84.69%,98.80%,62.60%,None,None,,,None,None,None,None,None
2020-12-30,186,17,搜狗拼音输入法,188,157,7,3,3,170,117,110,87.23%,71.34%,94.02%,58.51%,None,None,,,None,None,None,7,6.36%
2020-12-30,186,60,全民K歌,930,674,57,23,29,783,429,398,78.60%,58.69%,92.77%,42.80%,None,None,,,None,None,None,22,5.53%
2020-12-30,186,518,雷电模拟器,721,509,0,0,0,509,323,310,70.60%,63.46%,95.98%,43.00%,None,None,,,None,None,None,12,3.87%
2020-12-30,186,527,Minecraft,216,160,0,0,0,160,94,89,74.07%,58.75%,94.68%,41.20%,None,None,,,None,None,None,7,7.87%
2020-12-30,186,531,Zoom会议客户端,44,44,0,0,0,44,30,28,100.00%,68.18%,93.33%,63.64%,None,None,,,None,None,None,None,None
2020-12-30,186,554,微师,91,73,0,0,0,73,45,43,80.22%,61.64%,95.56%,47.25%,None,None,,,None,None,None,None,None
2020-12-30,186,396,金山毒霸,13,12,0,3,2,17,9,9,92.31%,75.00%,100.00%,69.23%,None,None,,,None,None,None,None,None
2020-12-30,186,562,瞩目,68,58,1,2,0,61,45,42,86.76%,76.27%,93.33%,61.76%,None,None,,,None,None,None,None,None
