日期,渠道,软件ID,软件名称,PV,安全下载,普通下载,按钮3,按钮4,下载点击总数,调起,成功安装,下载/PV,调起/下载1+2,安装成功率,安装整体转化,当天报活率,新装卸载率,次日留存率,七日留存率,新装卸载数,次日留存数,七人留存数,重复安装量,重复安装比例
2020-12-30,166,562,瞩目,804,598,0,0,0,598,307,293,74.38%,51.34%,95.44%,36.44%,None,None,,,None,None,None,6,2.05%
2020-12-30,166,101,酷我K歌,3453,1116,0,0,0,1116,None,None,32.32%,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,166,66,万能五笔,3963,2458,0,0,0,2458,1545,1429,62.02%,62.86%,92.49%,36.06%,None,None,,,None,None,None,30,2.10%
2020-12-30,166,83,快用苹果助手,2965,1694,0,0,0,1694,None,None,57.13%,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,166,553,桌面日历,459,181,0,0,0,181,113,104,39.43%,62.43%,92.04%,22.66%,None,None,,,None,None,None,None,None
2020-12-30,166,374,第五人格,55,25,0,0,0,25,24,20,45.45%,96.00%,83.33%,36.36%,None,None,,,None,None,None,None,None
2020-12-30,166,31,酷我音乐,3113,1877,0,0,0,1877,1098,1016,60.30%,58.50%,92.53%,32.64%,None,None,,,None,None,None,36,3.54%
2020-12-30,166,62,ps6,699,289,0,1,1,291,238,218,41.34%,82.35%,91.60%,31.19%,None,None,,,None,None,None,7,3.21%
2020-12-30,166,65,极点五笔,288,179,0,0,0,179,157,147,62.15%,87.71%,93.63%,51.04%,None,None,,,None,None,None,12,8.16%
2020-12-30,166,20,驱动精灵,6070,4079,0,0,0,4079,2783,2589,67.20%,68.23%,93.03%,42.65%,None,None,,,None,None,None,43,1.66%
2020-12-30,166,286,逍遥笔手写输入法,856,487,0,0,0,487,359,342,56.89%,73.72%,95.26%,39.95%,None,None,,,None,None,None,7,2.05%
2020-12-30,166,531,Zoom会议客户端,90,65,0,0,0,65,48,46,72.22%,73.85%,95.83%,51.11%,None,None,,,None,None,None,None,None
