日期,渠道,软件ID,软件名称,PV,安全下载,普通下载,按钮3,按钮4,下载点击总数,调起,成功安装,下载/PV,调起/下载,安装成功率,安装整体转化,当天报活率,新装卸载率,次日留存率,七日留存率,新装卸载数,次日留存数,七人留存数,重复安装量,重复安装比例
2020-12-30,166,113,CBox央视影音,404,222,0,0,0,222,128,111,54.95%,57.66%,86.72%,27.48%,0,0,,,0,0,0,6,5.41%
2020-12-30,166,162,网易邮箱大师,1639,903,2,1,1,907,650,593,55.22%,71.82%,91.23%,36.18%,0,0,,,0,0,0,12,2.02%
2020-12-30,166,48,光影魔术手,154,59,0,0,0,59,48,43,38.31%,81.36%,89.58%,27.92%,0,0,,,0,0,0,0,0
2020-12-30,166,25,winrar解压软件,14800,8877,0,0,0,8877,5194,4860,59.98%,58.51%,93.57%,32.84%,0,0,,,0,0,0,71,1.46%
2020-12-30,166,84,pp助手,789,562,0,0,0,562,0,0,71.23%,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2020-12-30,166,492,极光PDF,329,54,0,0,0,54,50,48,16.41%,92.59%,96.00%,14.59%,0,0,,,0,0,0,0,0
2020-12-30,166,13,微信,6757,4439,1,0,0,4440,2512,2349,65.71%,56.58%,93.51%,34.76%,0,0,,,0,0,0,86,3.66%
2020-12-30,166,105,7-zip32,353,103,0,0,0,103,0,0,29.18%,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2020-12-30,166,526,和平精英,76,43,0,0,0,43,41,36,56.58%,95.35%,87.80%,47.37%,0,0,,,0,0,0,0,0
2020-12-30,166,343,WPS-Excel,7248,4376,0,0,0,4376,2482,2247,60.38%,56.72%,90.53%,31.00%,0,0,,,0,0,0,43,1.91%
2020-12-30,166,617,C盘瘦身专家,5558,774,0,0,0,774,0,0,13.93%,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2020-12-30,166,17,搜狗拼音输入法,2403,596,4,2,1,603,400,361,24.97%,66.67%,90.25%,15.02%,0,0,,,0,0,0,9,2.49%
2020-12-30,166,22,王者荣耀电脑版,59,31,0,0,0,31,12,9,52.54%,38.71%,75.00%,15.25%,0,0,,,0,0,0,0,0
2020-12-30,166,23,foxmail v7.2,1715,901,0,0,0,901,586,544,52.54%,65.04%,92.83%,31.72%,0,0,,,0,0,0,14,2.57%
2020-12-30,166,93,杀毒相关,4235,2900,0,0,0,2900,1,1,68.48%,0.03%,100.00%,0.02%,0,0,,,0,0,0,0,0
2020-12-30,166,76,千牛,482,267,0,0,0,267,187,175,55.39%,70.04%,93.58%,36.31%,0,0,,,0,0,0,6,3.43%
2020-12-30,166,344,WPS-PPT,2409,1492,1,0,0,1493,838,773,61.98%,56.13%,92.24%,32.09%,0,0,,,0,0,0,27,3.49%
2020-12-30,166,35,网易云音乐,4763,2740,0,0,0,2740,1801,1695,57.53%,65.73%,94.11%,35.59%,0,0,,,0,0,0,93,5.49%
2020-12-30,166,49,植物大战僵尸中文版,1038,585,0,0,0,585,292,277,56.36%,49.91%,94.86%,26.69%,0,0,,,0,0,0,10,3.61%
2020-12-30,186,381,一键root大师PC版,115,76,5,11,1,93,58,53,70.43%,71.60%,91.38%,46.09%,0,0,,,0,0,0,0,0
2020-12-30,186,66,万能五笔,1064,989,0,0,0,989,634,602,92.95%,64.11%,94.95%,56.58%,0,0,,,0,0,0,18,2.99%
2020-12-30,186,161,爱剪辑,265,221,0,0,0,221,138,128,83.40%,62.44%,92.75%,48.30%,0,0,,,0,0,0,0,0
2020-12-30,186,25,winrar解压软件,1180,970,0,0,0,970,607,563,82.20%,62.58%,92.75%,47.71%,0,0,,,0,0,0,11,1.95%
2020-12-30,186,153,洋葱数学,31,17,0,0,0,17,18,15,54.84%,105.88%,83.33%,48.39%,0,0,,,0,0,0,0,0
2020-12-30,186,31,酷我音乐,749,578,0,0,0,578,324,302,77.17%,56.06%,93.21%,40.32%,0,0,,,0,0,0,22,7.28%
2020-12-30,186,62,ps6,837,634,8,16,13,671,392,366,76.70%,61.06%,93.37%,43.73%,0,0,,,0,0,0,8,2.19%
2020-12-30,186,496,快剪辑,283,246,0,0,0,246,156,143,86.93%,63.41%,91.67%,50.53%,0,0,,,0,0,0,0,0
