网页转化,下载器转化,新装和卸载,会员支付,鱼干支付,合计付费
日期,渠道,计划,网页展示,网页点击,点击率,下载器展示,调起率,点击极速安装,安装率,安装成功,成功率,安装成功/网页展示,新装,卸载,卸载率,会员支付人数,会员支付金额,客单价,付费率,鱼干支付人数,鱼干支付金额,客单价,付费率,总客单价,ARPU值
2021-01-05,1001,191,11,5,45.45%,1,20.00%,1,100.00%,1,100.00%,9.09%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,195,36,20,55.56%,9,45.00%,8,88.89%,8,100.00%,22.22%,8,3,37.50%,1,9.0,9.00,12.50%,None,None,None,None,None,None
2021-01-05,1001,93,28,14,50.00%,4,28.57%,0,0.00%,4,None,14.29%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,130,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,15,2471,1551,62.77%,1135,73.18%,1042,91.81%,1024,98.27%,41.44%,986,240,24.34%,17,592.0,34.82,1.72%,4,40.0,10.00,0.41%,30.10,0.64
2021-01-05,1001,201,20,11,55.00%,4,36.36%,4,100.00%,4,100.00%,20.00%,4,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,86,91,57,62.64%,30,52.63%,0,0.00%,28,None,30.77%,25,11,44.00%,None,None,None,None,1,10.0,10.00,4.00%,None,None
2021-01-05,1001,131,703,326,46.37%,181,55.52%,149,82.32%,145,97.32%,20.63%,136,40,29.41%,4,96.0,24.00,2.94%,1,10.0,10.00,0.74%,21.20,0.78
2021-01-05,1001,99,39,26,66.67%,15,57.69%,0,0.00%,14,None,35.90%,15,5,33.33%,1,9.0,9.00,6.67%,None,None,None,None,None,None
2021-01-05,1001,42,772,409,52.98%,212,51.83%,187,88.21%,185,98.93%,23.96%,184,60,32.61%,11,159.0,14.45,5.98%,2,20.0,10.00,1.09%,13.77,0.97
2021-01-05,1001,141,23,9,39.13%,3,33.33%,3,100.00%,3,100.00%,13.04%,3,2,66.67%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,248,41,25,60.98%,11,44.00%,0,0.00%,10,None,24.39%,10,3,30.00%,None,None,None,None,1,10.0,10.00,10.00%,None,None
2021-01-05,1001,153,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,48,12,8,66.67%,1,12.50%,0,0.00%,0,None,0.00%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,88,2,2,100.00%,1,50.00%,0,0.00%,1,None,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,115,40,19,47.50%,10,52.63%,7,70.00%,8,114.29%,20.00%,8,1,12.50%,None,None,None,None,1,10.0,10.00,12.50%,None,None
2021-01-05,1001,110,4,3,75.00%,3,100.00%,3,100.00%,3,100.00%,75.00%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,146,20,13,65.00%,3,23.08%,1,33.33%,1,100.00%,5.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,215,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,83,5,5,100.00%,2,40.00%,0,0.00%,2,None,40.00%,2,2,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,161,58,33,56.90%,11,33.33%,7,63.64%,7,100.00%,12.07%,5,1,20.00%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,95,34,12,35.29%,3,25.00%,0,0.00%,2,None,5.88%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,112,10,5,50.00%,5,100.00%,4,80.00%,4,100.00%,40.00%,4,2,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,38,44,24,54.55%,13,54.17%,0,0.00%,12,None,27.27%,12,6,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,162,53,37,69.81%,12,32.43%,10,83.33%,10,100.00%,18.87%,9,4,44.44%,1,9.0,9.00,11.11%,None,None,None,None,None,None
2021-01-05,1001,214,91,27,29.67%,10,37.04%,9,90.00%,9,100.00%,9.89%,9,2,22.22%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,106,60,29,48.33%,15,51.72%,0,0.00%,15,None,25.00%,16,5,31.25%,None,None,None,None,2,29.0,14.50,12.50%,None,None
2021-01-05,1001,56,14,4,28.57%,3,75.00%,0,0.00%,3,None,21.43%,3,2,66.67%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,171,17,11,64.71%,5,45.45%,4,80.00%,4,100.00%,23.53%,4,None,None,1,69.0,69.00,25.00%,None,None,None,None,None,None
2021-01-05,1001,65,63,24,38.10%,11,45.83%,0,0.00%,11,None,17.46%,10,3,30.00%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,81,3,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,158,275,167,60.73%,109,65.27%,98,89.91%,95,96.94%,34.55%,88,21,23.86%,None,None,None,None,1,10.0,10.00,1.14%,None,None
2021-01-05,1001,28,500,288,57.60%,143,49.65%,3,2.10%,132,"4,400.00%",26.40%,120,41,34.17%,2,59.0,29.50,1.67%,5,50.0,10.00,4.17%,15.57,0.91
2021-01-04,1001,98,4,2,50.00%,1,50.00%,0,0.00%,1,None,25.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,59,2908,1437,49.42%,1091,75.92%,948,86.89%,932,98.31%,32.05%,894,319,35.68%,20,300.0,15.00,2.24%,20,275.0,13.75,2.24%,14.38,0.64
2021-01-04,1001,224,335,199,59.40%,107,53.77%,86,80.37%,85,98.84%,25.37%,78,50,64.10%,5,185.0,37.00,6.41%,1,19.0,19.00,1.28%,34.00,2.62
2021-01-04,1001,191,5,4,80.00%,4,100.00%,3,75.00%,3,100.00%,60.00%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,37,12,6,50.00%,2,33.33%,0,0.00%,1,None,8.33%,2,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,133,15961,8525,53.41%,5540,64.99%,5027,90.74%,4929,98.05%,30.88%,4699,905,19.26%,101,3437.0,34.03,2.15%,59,734.0,12.44,1.26%,26.07,0.89
2021-01-04,1001,24,658,283,43.01%,166,58.66%,133,80.12%,133,100.00%,20.21%,123,22,17.89%,6,95.0,15.83,4.88%,4,49.0,12.25,3.25%,14.40,1.17
2021-01-04,1001,147,15,6,40.00%,1,16.67%,1,100.00%,1,100.00%,6.67%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,44,24,11,45.83%,6,54.55%,0,0.00%,6,None,25.00%,4,2,50.00%,1,9.0,9.00,25.00%,None,None,None,None,None,None
2021-01-04,1001,16,1742,860,49.37%,446,51.86%,386,86.55%,382,98.96%,21.93%,373,60,16.09%,9,470.0,52.22,2.41%,11,233.0,21.18,2.95%,35.15,1.88
2021-01-04,1001,23,34,18,52.94%,6,33.33%,0,0.00%,5,None,14.71%,6,2,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,18,286,182,63.64%,141,77.47%,2,1.42%,139,"6,950.00%",48.60%,135,32,23.70%,5,45.0,9.00,3.70%,3,30.0,10.00,2.22%,9.38,0.56
2021-01-04,1001,157,629,307,48.81%,222,72.31%,207,93.24%,203,98.07%,32.27%,193,62,32.12%,4,36.0,9.00,2.07%,1,10.0,10.00,0.52%,9.20,0.24
2021-01-04,1001,104,63,28,44.44%,23,82.14%,1,4.35%,22,"2,200.00%",34.92%,21,4,19.05%,None,None,None,None,1,10.0,10.00,4.76%,None,None
2021-01-04,1001,220,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,28,533,294,55.16%,147,50.00%,4,2.72%,133,"3,325.00%",24.95%,125,36,28.80%,2,59.0,29.50,1.60%,1,10.0,10.00,0.80%,23.00,0.55
2021-01-04,1001,11,479,206,43.01%,93,45.15%,4,4.30%,82,"2,050.00%",17.12%,74,20,27.03%,1,69.0,69.00,1.35%,None,None,None,None,None,None
2021-01-04,1001,61,105,47,44.76%,13,27.66%,0,0.00%,12,None,11.43%,11,3,27.27%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,86,67,39,58.21%,18,46.15%,0,0.00%,17,None,25.37%,16,6,37.50%,None,None,None,None,1,19.0,19.00,6.25%,None,None
2021-01-04,1001,80,44,19,43.18%,9,47.37%,0,0.00%,8,None,18.18%,9,2,22.22%,1,9.0,9.00,11.11%,None,None,None,None,None,None
2021-01-04,1001,124,10,5,50.00%,4,80.00%,3,75.00%,3,100.00%,30.00%,2,None,None,1,89.0,89.00,50.00%,None,None,None,None,None,None
2021-01-04,1001,146,16,7,43.75%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,180,45,27,60.00%,12,44.44%,8,66.67%,7,87.50%,15.56%,8,3,37.50%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,182,14,4,28.57%,2,50.00%,2,100.00%,2,100.00%,14.29%,2,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,82,11,8,72.73%,5,62.50%,0,0.00%,5,None,45.45%,5,3,60.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,241,319,148,46.39%,72,48.65%,2,2.78%,64,"3,200.00%",20.06%,62,12,19.35%,None,None,None,None,3,39.0,13.00,4.84%,None,None
2021-01-04,1001,65,54,13,24.07%,5,38.46%,0,0.00%,5,None,9.26%,4,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,239,65,15,23.08%,10,66.67%,0,0.00%,9,None,13.85%,8,4,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,103,146,70,47.95%,31,44.29%,0,0.00%,26,None,17.81%,27,8,29.63%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,128,155,75,48.39%,22,29.33%,14,63.64%,14,100.00%,9.03%,14,5,35.71%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,all,50358,27296,54.20%,16654,61.01%,12429,74.63%,14563,117.17%,28.92%,13955,3286,23.55%,319,8515.0,26.69,2.29%,233,3012.0,12.93,1.67%,20.88,0.83
2021-01-04,1001,52,34,15,44.12%,4,26.67%,0,0.00%,2,None,5.88%,2,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,194,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,42,807,388,48.08%,212,54.64%,186,87.74%,182,97.85%,22.55%,174,57,32.76%,10,150.0,15.00,5.75%,3,30.0,10.00,1.72%,13.85,1.03
2021-01-04,1001,77,29,15,51.72%,5,33.33%,0,0.00%,5,None,17.24%,5,3,60.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,118,4,2,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,60,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,81,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,93,34,21,61.76%,10,47.62%,0,0.00%,9,None,26.47%,10,3,30.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,121,5,1,20.00%,1,100.00%,1,100.00%,1,100.00%,20.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,45,49,20,40.82%,9,45.00%,0,0.00%,8,None,16.33%,7,1,14.29%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,171,28,15,53.57%,6,40.00%,4,66.67%,4,100.00%,14.29%,3,2,66.67%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,156,10,2,20.00%,1,50.00%,0,0.00%,0,None,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,106,67,36,53.73%,12,33.33%,0,0.00%,12,None,17.91%,12,6,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,70,13,5,38.46%,1,20.00%,0,0.00%,1,None,7.69%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,95,34,17,50.00%,7,41.18%,0,0.00%,7,None,20.59%,7,3,42.86%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,76,98,46,46.94%,20,43.48%,0,0.00%,18,None,18.37%,18,7,38.89%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,137,39,22,56.41%,10,45.45%,9,90.00%,9,100.00%,23.08%,8,3,37.50%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,94,2,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,46,8,4,50.00%,2,50.00%,0,0.00%,2,None,25.00%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,34,14,7,50.00%,2,28.57%,0,0.00%,2,None,14.29%,2,2,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,158,276,171,61.96%,101,59.06%,89,88.12%,87,97.75%,31.52%,83,15,18.07%,4,96.0,24.00,4.82%,1,10.0,10.00,1.20%,21.20,1.28
2021-01-04,1001,116,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,163,192,99,51.56%,38,38.38%,34,89.47%,32,94.12%,16.67%,33,10,30.30%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,36,47,29,61.70%,8,27.59%,0,0.00%,8,None,17.02%,8,2,25.00%,None,None,None,None,2,20.0,10.00,25.00%,None,None
2021-01-04,1001,39,549,284,51.73%,118,41.55%,72,61.02%,71,98.61%,12.93%,63,20,31.75%,None,None,None,None,1,10.0,10.00,1.59%,None,None
2021-01-04,1001,201,16,8,50.00%,4,50.00%,2,50.00%,2,100.00%,12.50%,2,2,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,186,2,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,88,2,2,100.00%,2,100.00%,0,0.00%,2,None,100.00%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,13,95,37,38.95%,13,35.14%,2,15.38%,12,600.00%,12.63%,12,4,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,4,407,239,58.72%,134,56.07%,7,5.22%,130,"1,857.14%",31.94%,126,49,38.89%,6,54.0,9.00,4.76%,2,20.0,10.00,1.59%,9.25,0.59
2021-01-04,1001,5,1886,1127,59.76%,893,79.24%,831,93.06%,826,99.40%,43.80%,785,195,24.84%,19,311.0,16.37,2.42%,14,167.0,11.93,1.78%,14.48,0.61
2021-01-04,1001,63,5,2,40.00%,2,100.00%,1,50.00%,2,200.00%,40.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,35,250,130,52.00%,69,53.08%,1,1.45%,65,"6,500.00%",26.00%,63,17,26.98%,2,24.0,12.00,3.17%,4,67.0,16.75,6.35%,15.17,1.44
2021-01-04,1001,21,142,80,56.34%,28,35.00%,0,0.00%,25,None,17.61%,19,5,26.32%,2,18.0,9.00,10.53%,1,10.0,10.00,5.26%,9.33,1.47
2021-01-04,1001,19,1271,655,51.53%,334,50.99%,2,0.60%,325,"16,250.00%",25.57%,313,104,33.23%,6,784.0,130.67,1.92%,5,59.0,11.80,1.60%,76.64,2.69
2021-01-04,1001,83,7,4,57.14%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,22,255,115,45.10%,39,33.91%,0,0.00%,37,None,14.51%,37,9,24.32%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,196,3,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,58,15,4,26.67%,1,25.00%,0,0.00%,1,None,6.67%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,66,9,3,33.33%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1001,8,3868,1900,49.12%,869,45.74%,727,83.66%,713,98.07%,18.43%,690,143,20.72%,15,347.0,23.13,2.17%,19,247.0,13.00,2.75%,17.47,0.86
2021-01-04,1001,87,8,3,37.50%,1,33.33%,0,0.00%,1,None,12.50%,1,None,None,None,None,None,None,None,None,None,None,None,None
