网页转化,下载器转化,新装和卸载,会员支付,鱼干支付,合计付费
日期,渠道,计划,网页展示,网页点击,点击率,下载器展示,调起率,点击极速安装,安装率,安装成功,成功率,安装成功/网页展示,新装,卸载,卸载率,会员支付人数,会员支付金额,客单价,付费率,鱼干支付人数,鱼干支付金额,客单价,付费率,总客单价,ARPU值
2021-01-04,1002,17,582,287,49.31%,164,57.14%,10,6.10%,155,"1,550.00%",26.63%,138,34,24.64%,3,27.0,9.00,2.17%,1,10.0,10.00,0.72%,9.25,0.27
2021-01-04,1002,61,5,2,40.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,59,389,194,49.87%,153,78.87%,136,88.89%,131,96.32%,33.68%,124,34,27.42%,7,123.0,17.57,5.65%,None,None,None,None,None,None
2021-01-04,1002,56,3,1,33.33%,1,100.00%,0,0.00%,1,None,33.33%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,57,11,5,45.45%,2,40.00%,0,0.00%,2,None,18.18%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,42,62,37,59.68%,29,78.38%,24,82.76%,24,100.00%,38.71%,23,6,26.09%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,82,5,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,104,22,11,50.00%,8,72.73%,0,0.00%,6,None,27.27%,6,1,16.67%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,4,56,30,53.57%,24,80.00%,1,4.17%,24,"2,400.00%",42.86%,24,9,37.50%,2,18.0,9.00,8.33%,1,10.0,10.00,4.17%,9.33,1.17
2021-01-04,1002,15,394,307,77.92%,292,95.11%,272,93.15%,274,100.74%,69.54%,250,44,17.60%,5,45.0,9.00,2.00%,7,79.0,11.29,2.80%,10.33,0.50
2021-01-04,1002,147,3,2,66.67%,2,100.00%,2,100.00%,2,100.00%,66.67%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,75,2,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,48,2,1,50.00%,1,100.00%,0,0.00%,1,None,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,64,3,2,66.67%,1,50.00%,0,0.00%,1,None,33.33%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,157,45,20,44.44%,18,90.00%,17,94.44%,17,100.00%,37.78%,17,7,41.18%,None,None,None,None,1,10.0,10.00,5.88%,None,None
2021-01-04,1002,78,4,1,25.00%,1,100.00%,0,0.00%,1,None,25.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
