网页转化,下载器转化,新装和卸载,会员支付,鱼干支付,合计付费
日期,渠道,计划,网页展示,网页点击,点击率,下载器展示,调起率,点击极速安装,安装率,安装成功,成功率,安装成功/网页展示,新装,卸载,卸载率,会员支付人数,会员支付金额,客单价,付费率,鱼干支付人数,鱼干支付金额,客单价,付费率,总客单价,ARPU值
2020-12-31,1002,15,425,336,79.06%,310,92.26%,293,94.52%,290,98.98%,68.24%,276,51,18.48%,2,98.0,49.00,0.72%,7,70.0,10.00,2.54%,18.67,0.61
2020-12-31,1002,126,6,3,50.00%,2,66.67%,2,100.00%,2,100.00%,33.33%,2,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,25,5,3,60.00%,1,33.33%,0,0.00%,0,None,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,18,271,202,74.54%,166,82.18%,2,1.20%,164,"8,200.00%",60.52%,160,36,22.50%,6,54.0,9.00,3.75%,5,59.0,11.80,3.12%,10.27,0.71
2020-12-31,1002,26,69,24,34.78%,18,75.00%,1,5.56%,14,"1,400.00%",20.29%,13,2,15.38%,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,142,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,31,12,6,50.00%,4,66.67%,0,0.00%,4,None,33.33%,4,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,48,3,2,66.67%,1,50.00%,0,0.00%,1,None,33.33%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,43,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,57,4,2,50.00%,2,100.00%,0,0.00%,2,None,50.00%,2,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,5,1457,1259,86.41%,1250,99.29%,1175,94.00%,1162,98.89%,79.75%,1066,161,15.10%,12,348.0,29.00,1.13%,14,167.0,11.93,1.31%,19.81,0.48
2020-12-31,1002,60,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,86,7,2,28.57%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,137,2,1,50.00%,1,100.00%,0,0.00%,0,None,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,122,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,100.00%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,248,10,3,30.00%,4,133.33%,0,0.00%,3,None,30.00%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,33,13,5,38.46%,3,60.00%,0,0.00%,2,None,15.38%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,39,13,6,46.15%,3,50.00%,2,66.67%,2,100.00%,15.38%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,64,1,0,0.00%,1,None,0,0.00%,1,None,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,239,8,1,12.50%,1,100.00%,0,0.00%,1,None,12.50%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,158,33,11,33.33%,7,63.64%,5,71.43%,6,120.00%,18.18%,5,1,20.00%,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,4,62,35,56.45%,26,74.29%,0,0.00%,25,None,40.32%,24,10,41.67%,None,None,None,None,1,10.0,10.00,4.17%,None,None
2020-12-31,1002,69,11,1,9.09%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,243,14,9,64.29%,7,77.78%,0,0.00%,7,None,50.00%,7,4,57.14%,None,None,None,None,1,19.0,19.00,14.29%,None,None
2020-12-31,1002,103,11,1,9.09%,1,100.00%,0,0.00%,0,None,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,133,2471,1403,56.78%,961,68.50%,816,84.91%,794,97.30%,32.13%,754,151,20.03%,18,162.0,9.00,2.39%,16,178.0,11.12,2.12%,10.00,0.45
2020-12-31,1002,83,1,1,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,46,8,2,25.00%,1,50.00%,0,0.00%,1,None,12.50%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,52,3,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,95,3,0,0.00%,1,None,0,0.00%,0,None,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,50,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,34,3,3,100.00%,2,66.67%,0,0.00%,2,None,66.67%,2,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,116,1,1,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,62,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,24,226,107,47.35%,75,70.09%,67,89.33%,64,95.52%,28.32%,63,13,20.63%,1,9.0,9.00,1.59%,4,40.0,10.00,6.35%,9.80,0.78
2020-12-31,1002,30,14,8,57.14%,8,100.00%,1,12.50%,7,700.00%,50.00%,4,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,147,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,136,4,3,75.00%,1,33.33%,1,100.00%,1,100.00%,25.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,45,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,91,4,2,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,6,1750,938,53.60%,632,67.38%,516,81.65%,512,99.22%,29.26%,483,102,21.12%,14,192.0,13.71,2.90%,12,147.0,12.25,2.48%,13.04,0.70
2020-12-31,1002,115,7,4,57.14%,1,25.00%,1,100.00%,1,100.00%,14.29%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,131,3,1,33.33%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,54,2,1,50.00%,1,100.00%,0,0.00%,1,None,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,61,4,2,50.00%,2,100.00%,0,0.00%,2,None,50.00%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,55,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,157,33,15,45.45%,11,73.33%,11,100.00%,10,90.91%,30.30%,10,2,20.00%,1,9.0,9.00,10.00%,None,None,None,None,None,None
2020-12-31,1002,58,3,1,33.33%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,96,9,1,11.11%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,88,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,9,253,132,52.17%,89,67.42%,3,3.37%,82,"2,733.33%",32.41%,78,12,15.38%,2,18.0,9.00,2.56%,1,19.0,19.00,1.28%,12.33,0.47
2020-12-31,1002,44,1,3,300.00%,1,33.33%,0,0.00%,1,None,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,80,3,1,33.33%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,76,10,5,50.00%,3,60.00%,0,0.00%,3,None,30.00%,3,3,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,22,31,12,38.71%,9,75.00%,0,0.00%,8,None,25.81%,8,3,37.50%,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,47,2,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,110,3,2,66.67%,1,50.00%,1,100.00%,1,100.00%,33.33%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,153,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,21,13,6,46.15%,1,16.67%,0,0.00%,1,None,7.69%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-31,1002,224,85,50,58.82%,41,82.00%,37,90.24%,37,100.00%,43.53%,35,12,34.29%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,58,3,1,33.33%,1,100.00%,0,0.00%,1,None,33.33%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,61,5,1,20.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,117,13,9,69.23%,7,77.78%,6,85.71%,6,100.00%,46.15%,6,2,33.33%,1,9.0,9.00,16.67%,None,None,None,None,None,None
2020-12-30,1002,55,3,1,33.33%,1,100.00%,0,0.00%,1,None,33.33%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,40,2,1,50.00%,1,100.00%,0,0.00%,1,None,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,42,71,48,67.61%,34,70.83%,30,88.24%,28,93.33%,39.44%,25,8,32.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,20,58,31,53.45%,16,51.61%,0,0.00%,15,None,25.86%,13,5,38.46%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,78,3,2,66.67%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,124,3,1,33.33%,1,100.00%,1,100.00%,1,100.00%,33.33%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,110,2,1,50.00%,1,100.00%,1,100.00%,1,100.00%,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,41,126,44,34.92%,24,54.55%,0,0.00%,22,None,17.46%,21,5,23.81%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,31,7,1,14.29%,1,100.00%,0,0.00%,1,None,14.29%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,52,5,1,20.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,70,3,2,66.67%,1,50.00%,0,0.00%,1,None,33.33%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,64,3,2,66.67%,2,100.00%,0,0.00%,2,None,66.67%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,248,14,9,64.29%,5,55.56%,0,0.00%,5,None,35.71%,4,2,50.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,160,4,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,89,1,2,200.00%,1,50.00%,0,0.00%,1,None,100.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,224,59,37,62.71%,22,59.46%,19,86.36%,17,89.47%,28.81%,15,8,53.33%,2,18.0,9.00,13.33%,1,10.0,10.00,6.67%,9.33,1.87
2020-12-30,1002,5,1581,1332,84.25%,1364,102.40%,1289,94.50%,1255,97.36%,79.38%,1162,150,12.91%,19,986.0,51.89,1.64%,17,218.0,12.82,1.46%,33.44,1.04
2020-12-30,1002,all,10912,6662,61.05%,5154,77.36%,3904,75.75%,4422,113.27%,40.52%,4140,754,18.21%,84,2156.0,25.67,2.03%,68,810.0,11.91,1.64%,19.51,0.72
2020-12-30,1002,65,14,6,42.86%,4,66.67%,0,0.00%,3,None,21.43%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,141,1,1,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,147,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,49,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,9,235,110,46.81%,64,58.18%,2,3.12%,58,"2,900.00%",24.68%,54,15,27.78%,3,27.0,9.00,5.56%,1,10.0,10.00,1.85%,9.25,0.69
2020-12-30,1002,96,4,1,25.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,114,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,100.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,38,8,3,37.50%,1,33.33%,0,0.00%,1,None,12.50%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,115,2,1,50.00%,1,100.00%,1,100.00%,1,100.00%,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,95,3,2,66.67%,1,50.00%,0,0.00%,1,None,33.33%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,137,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,239,15,4,26.67%,3,75.00%,0,0.00%,3,None,20.00%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,235,40,18,45.00%,11,61.11%,0,0.00%,10,None,25.00%,10,4,40.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,113,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,133,2467,1339,54.28%,948,70.80%,816,86.08%,776,95.10%,31.46%,735,144,19.59%,16,150.0,9.38,2.18%,7,88.0,12.57,0.95%,10.35,0.32
2020-12-30,1002,80,1,1,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,108,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,100.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,238,36,12,33.33%,7,58.33%,0,0.00%,7,None,19.44%,7,4,57.14%,None,None,None,None,1,19.0,19.00,14.29%,None,None
2020-12-30,1002,93,2,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,30,8,3,37.50%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,161,4,2,50.00%,2,100.00%,2,100.00%,2,100.00%,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,106,1,1,100.00%,1,100.00%,0,0.00%,1,None,100.00%,1,None,None,1,9.0,9.00,100.00%,None,None,None,None,None,None
2020-12-30,1002,82,2,2,100.00%,2,100.00%,0,0.00%,2,None,100.00%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,19,265,133,50.19%,96,72.18%,2,2.08%,83,"4,150.00%",31.32%,79,25,31.65%,None,None,None,None,2,20.0,10.00,2.53%,None,None
2020-12-30,1002,25,13,6,46.15%,3,50.00%,1,33.33%,1,100.00%,7.69%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,157,42,20,47.62%,13,65.00%,13,100.00%,13,100.00%,30.95%,13,6,46.15%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,15,407,316,77.64%,307,97.15%,286,93.16%,286,100.00%,70.27%,258,38,14.73%,3,87.0,29.00,1.16%,1,10.0,10.00,0.39%,24.25,0.38
2020-12-30,1002,75,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,44,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,50,1,1,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,45,1,1,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,122,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,131,6,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,4,47,28,59.57%,18,64.29%,0,0.00%,16,None,34.04%,16,2,12.50%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,17,537,298,55.49%,163,54.70%,7,4.29%,142,"2,028.57%",26.44%,127,30,23.62%,None,None,None,None,2,20.0,10.00,1.57%,None,None
2020-12-30,1002,111,2,1,50.00%,1,100.00%,1,100.00%,1,100.00%,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,18,311,222,71.38%,174,78.38%,1,0.57%,162,"16,200.00%",52.09%,157,33,21.02%,5,45.0,9.00,3.18%,5,69.0,13.80,3.18%,11.40,0.73
2020-12-30,1002,76,10,6,60.00%,3,50.00%,0,0.00%,3,None,30.00%,2,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,48,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,69,13,5,38.46%,1,20.00%,0,0.00%,1,None,7.69%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,33,6,2,33.33%,1,50.00%,0,0.00%,1,None,16.67%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,148,1,0,0.00%,1,None,1,100.00%,1,100.00%,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,39,7,3,42.86%,1,33.33%,0,0.00%,0,None,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,104,24,15,62.50%,11,73.33%,0,0.00%,9,None,37.50%,9,2,22.22%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,68,1,1,100.00%,1,100.00%,0,0.00%,1,None,100.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,243,9,3,33.33%,4,133.33%,0,0.00%,2,None,22.22%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,56,5,3,60.00%,1,33.33%,0,0.00%,1,None,20.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,12,45,18,40.00%,13,72.22%,11,84.62%,11,100.00%,24.44%,11,2,18.18%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,86,9,7,77.78%,2,28.57%,0,0.00%,2,None,22.22%,2,2,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,22,40,15,37.50%,4,26.67%,0,0.00%,4,None,10.00%,4,None,None,1,9.0,9.00,25.00%,None,None,None,None,None,None
2020-12-30,1002,105,6,3,50.00%,2,66.67%,0,0.00%,2,None,33.33%,2,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,158,53,20,37.74%,9,45.00%,7,77.78%,6,85.71%,11.32%,6,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,35,34,17,50.00%,9,52.94%,0,0.00%,7,None,20.59%,6,3,50.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,163,18,7,38.89%,2,28.57%,1,50.00%,1,100.00%,5.56%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,7,1240,703,56.69%,448,63.73%,373,83.26%,359,96.25%,28.95%,327,44,13.46%,5,125.0,25.00,1.53%,12,129.0,10.75,3.67%,14.94,0.78
2020-12-30,1002,43,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,47,6,4,66.67%,3,75.00%,0,0.00%,1,None,16.67%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,24,214,94,43.93%,66,70.21%,53,80.30%,51,96.23%,23.83%,45,5,11.11%,1,9.0,9.00,2.22%,None,None,None,None,None,None
2020-12-30,1002,8,1035,549,53.04%,344,62.66%,279,81.10%,262,93.91%,25.31%,247,42,17.00%,7,303.0,43.29,2.83%,4,49.0,12.25,1.62%,32.00,1.43
2020-12-30,1002,91,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,162,3,1,33.33%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,116,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,16,76,36,47.37%,26,72.22%,25,96.15%,25,100.00%,32.89%,25,6,24.00%,3,27.0,9.00,12.00%,1,19.0,19.00,4.00%,11.50,1.84
2020-12-30,1002,26,74,35,47.30%,25,71.43%,2,8.00%,22,"1,100.00%",29.73%,19,2,10.53%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,59,401,203,50.62%,167,82.27%,146,87.43%,139,95.21%,34.66%,130,38,29.23%,2,18.0,9.00,1.54%,2,20.0,10.00,1.54%,9.50,0.29
2020-12-30,1002,136,1,1,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,34,1,1,100.00%,1,100.00%,0,0.00%,1,None,100.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,126,2,2,100.00%,2,100.00%,2,100.00%,2,100.00%,100.00%,2,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,6,1833,1013,55.26%,656,64.76%,548,83.54%,534,97.45%,29.13%,505,113,22.38%,10,289.0,28.90,1.98%,8,89.0,11.12,1.58%,21.00,0.75
2020-12-30,1002,54,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,28,140,78,55.71%,39,50.00%,0,0.00%,34,None,24.29%,33,8,24.24%,3,27.0,9.00,9.09%,2,20.0,10.00,6.06%,9.40,1.42
2020-12-30,1002,21,23,10,43.48%,4,40.00%,0,0.00%,4,None,17.39%,4,None,None,1,9.0,9.00,25.00%,None,None,None,None,None,None
2020-12-30,1002,57,2,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,32,52,33,63.46%,21,63.64%,0,0.00%,17,None,32.69%,16,3,18.75%,None,None,None,None,1,10.0,10.00,6.25%,None,None
2020-12-30,1002,23,4,3,75.00%,2,66.67%,0,0.00%,2,None,50.00%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,46,4,3,75.00%,1,33.33%,0,0.00%,1,None,25.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,51,9,6,66.67%,5,83.33%,0,0.00%,5,None,55.56%,5,2,40.00%,None,None,None,None,None,None,None,None,None,None
2020-12-30,1002,27,22,10,45.45%,8,80.00%,0,0.00%,8,None,36.36%,8,3,37.50%,None,None,None,None,1,10.0,10.00,12.50%,None,None
2020-12-30,1002,103,16,8,50.00%,6,75.00%,0,0.00%,6,None,37.50%,6,None,None,1,9.0,9.00,16.67%,None,None,None,None,None,None
2020-12-30,1002,119,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,20,59,27,45.76%,14,51.85%,0,0.00%,12,None,20.34%,12,4,33.33%,1,9.0,9.00,8.33%,None,None,None,None,None,None
2020-12-29,1002,91,4,4,100.00%,1,25.00%,0,0.00%,0,None,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,8,1121,606,54.06%,349,57.59%,294,84.24%,283,96.26%,25.25%,270,51,18.89%,3,27.0,9.00,1.11%,7,70.0,10.00,2.59%,9.70,0.36
2020-12-29,1002,78,4,3,75.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,40,3,1,33.33%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,41,132,53,40.15%,31,58.49%,0,0.00%,26,None,19.70%,26,5,19.23%,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,95,4,1,25.00%,2,200.00%,0,0.00%,2,None,50.00%,2,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,157,36,24,66.67%,23,95.83%,22,95.65%,21,95.45%,58.33%,19,3,15.79%,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,162,3,1,33.33%,1,100.00%,1,100.00%,1,100.00%,33.33%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,73,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,155,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,51,7,1,14.29%,1,100.00%,0,0.00%,0,None,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,45,2,1,50.00%,1,100.00%,0,0.00%,1,None,50.00%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,65,5,1,20.00%,1,100.00%,0,0.00%,1,None,20.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,30,18,11,61.11%,8,72.73%,1,12.50%,4,400.00%,22.22%,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,116,3,3,100.00%,2,66.67%,2,100.00%,1,50.00%,33.33%,2,2,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,57,8,4,50.00%,3,75.00%,0,0.00%,3,None,37.50%,4,1,25.00%,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,42,84,49,58.33%,38,77.55%,34,89.47%,34,100.00%,40.48%,34,8,23.53%,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,33,10,7,70.00%,1,14.29%,0,0.00%,1,None,10.00%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,82,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,80,4,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,28,144,66,45.83%,30,45.45%,0,0.00%,28,None,19.44%,28,12,42.86%,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,7,1357,750,55.27%,497,66.27%,413,83.10%,393,95.16%,28.96%,365,69,18.90%,7,63.0,9.00,1.92%,6,87.0,14.50,1.64%,11.54,0.41
2020-12-29,1002,54,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,6,2000,1072,53.60%,712,66.42%,569,79.92%,551,96.84%,27.55%,525,120,22.86%,14,227.0,16.21,2.67%,10,118.0,11.80,1.90%,14.38,0.66
2020-12-29,1002,18,326,229,70.25%,182,79.48%,1,0.55%,173,"17,300.00%",53.07%,159,35,22.01%,6,54.0,9.00,3.77%,1,19.0,19.00,0.63%,10.43,0.46
2020-12-29,1002,56,3,1,33.33%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,53,2,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-29,1002,5,1645,1384,84.13%,1487,107.44%,1407,94.62%,1359,96.59%,82.61%,1275,150,11.76%,23,388.0,16.87,1.80%,16,265.0,16.56,1.25%,16.74,0.51
