日期,推广账户,产品线,推广计划,展示次数,点击次数,点击率,总费用,平均每次点击费用
2021-01-10,安徽宝家35,搜索推广,第三方软件-千牛,4725,147,3.11%,59.28,0.4
2021-01-10,安徽宝家35,搜索推广,第三方软件-瞩目,1154,66,5.72%,21.1,0.32
2021-01-10,安徽宝家35,搜索推广,第三方软件-QQ影音,6418,53,0.83%,16.69,0.31
2021-01-10,安徽宝家35,搜索推广,第三方软件-万能五笔,3894,167,4.29%,64.09,0.38
2021-01-10,安徽宝家35,搜索推广,第三方软件-FlashPlayer,5537,187,3.38%,72.26,0.39
2021-01-10,安徽宝家35,搜索推广,第三方软件-美图秀秀,18894,424,2.24%,175.99,0.42
2021-01-10,安徽宝家35,搜索推广,第三方软件-极品五笔输入法,3979,380,9.55%,165.01,0.43
2021-01-10,安徽宝家35,搜索推广,第三方软件-我的世界,4336,436,10.06%,133.82,0.31
2021-01-10,安徽宝家35,搜索推广,第三方软件-微师客户端,529,41,7.75%,14.19,0.35
2021-01-10,安徽宝家35,搜索推广,公司软件-猎豹免费WIFI,645,42,6.51%,14,0.33
2021-01-10,安徽宝家35,搜索推广,第三方软件-EV录屏,881,7,0.79%,2.12,0.3
2021-01-10,安徽宝家35,搜索推广,第三方软件-whatsapp,26,1,3.85%,0.3,0.3
2021-01-10,安徽宝家35,搜索推广,第三方软件-阿里旺旺,31,0,0%,0,0
2021-01-10,安徽宝家35,搜索推广,第三方软件-芒果TV,1212,19,1.57%,6.04,0.32
2021-01-10,安徽宝家35,搜索推广,第三方软件-photoshopcs6,7865,18,0.23%,6.84,0.38
2021-01-10,安徽宝家35,搜索推广,第三方软件-暴风影音,3007,30,1%,9.45,0.32
2021-01-10,安徽宝家35,搜索推广,第三方软件-Rar解压软件,1315,24,1.83%,7.89,0.33
2021-01-10,安徽宝家35,搜索推广,第三方软件-微信,426,26,6.1%,7.8,0.3
2021-01-10,安徽宝家35,搜索推广,公司软件-C盘瘦身,8343,488,5.85%,182.09,0.37
2021-01-10,安徽宝家35,搜索推广,第三方软件-QQ,18988,126,0.66%,43.42,0.34
2021-01-10,安徽宝家35,搜索推广,第三方软件-金山打字通,12802,727,5.68%,262.46,0.36
2021-01-10,安徽宝家35,搜索推广,第三方软件-网易云音乐,17990,900,5%,270,0.3
2021-01-10,安徽宝家35,搜索推广,第三方软件-搜狗输入法,67413,7044,10.45%,3249.43,0.46
2021-01-10,安徽宝家35,搜索推广,第三方软件-WPS,133623,8418,6.3%,3430.91,0.41
2021-01-10,安徽宝家35,搜索推广,第三方软件-驱动精灵,10714,630,5.88%,256.67,0.41
2021-01-10,安徽宝家35,搜索推广,第三方软件-WPS-word,14501,822,5.67%,272.2,0.33
2021-01-10,安徽宝家35,搜索推广,第三方软件-钉钉电脑版,31423,509,1.62%,191.56,0.38
2021-01-09,安徽宝家35,搜索推广,第三方软件-瞩目,1412,31,2.2%,9.93,0.32
2021-01-09,安徽宝家35,搜索推广,第三方软件-金山打字通,16463,791,4.8%,285.9,0.36
2021-01-09,安徽宝家35,搜索推广,第三方软件-Rar解压软件,1761,27,1.53%,8.86,0.33
2021-01-09,安徽宝家35,搜索推广,公司软件-猎豹免费WIFI,740,26,3.51%,8.5,0.33
2021-01-09,安徽宝家35,搜索推广,第三方软件-微师客户端,567,35,6.17%,12.03,0.34
2021-01-09,安徽宝家35,搜索推广,第三方软件-QQ影音,5789,50,0.86%,15.79,0.32
2021-01-09,安徽宝家35,搜索推广,第三方软件-photoshopcs6,7787,37,0.48%,13.98,0.38
2021-01-09,安徽宝家35,搜索推广,第三方软件-美图秀秀,20996,329,1.57%,135.35,0.41
2021-01-09,安徽宝家35,搜索推广,第三方软件-暴风影音,2561,27,1.05%,8.47,0.31
2021-01-09,安徽宝家35,搜索推广,第三方软件-我的世界,10155,973,9.58%,297.13,0.31
2021-01-09,安徽宝家35,搜索推广,第三方软件-阿里旺旺,59,3,5.08%,1.08,0.36
2021-01-09,安徽宝家35,搜索推广,第三方软件-EV录屏,1065,3,0.28%,0.91,0.3
2021-01-09,安徽宝家35,搜索推广,第三方软件-WPS,160091,9476,5.92%,3953.36,0.42
2021-01-09,安徽宝家35,搜索推广,第三方软件-whatsapp,118,5,4.24%,1.5,0.3
2021-01-09,安徽宝家35,搜索推广,第三方软件-微信,512,17,3.32%,5.1,0.3
2021-01-09,安徽宝家35,搜索推广,第三方软件-WPS-word,15297,918,6%,305.91,0.33
2021-01-09,安徽宝家35,搜索推广,第三方软件-搜狗输入法,70654,6062,8.58%,2829.68,0.47
2021-01-09,安徽宝家35,搜索推广,第三方软件-网易云音乐,18450,702,3.8%,210.6,0.3
2021-01-09,安徽宝家35,搜索推广,第三方软件-芒果TV,1481,41,2.77%,13,0.32
2021-01-09,安徽宝家35,搜索推广,第三方软件-钉钉电脑版,28405,267,0.94%,102.52,0.38
2021-01-09,安徽宝家35,搜索推广,第三方软件-极品五笔输入法,2421,351,14.5%,152.88,0.44
2021-01-09,安徽宝家35,搜索推广,第三方软件-QQ,25504,278,1.09%,95.93,0.35
2021-01-09,安徽宝家35,搜索推广,第三方软件-驱动精灵,12585,614,4.88%,246.04,0.4
2021-01-09,安徽宝家35,搜索推广,第三方软件-万能五笔,4279,183,4.28%,69.85,0.38
2021-01-09,安徽宝家35,搜索推广,公司软件-C盘瘦身,9840,570,5.79%,212.92,0.37
2021-01-09,安徽宝家35,搜索推广,第三方软件-FlashPlayer,5944,244,4.1%,93.17,0.38
2021-01-09,安徽宝家35,搜索推广,第三方软件-千牛,5822,208,3.57%,85.3,0.41
2021-01-08,安徽宝家35,搜索推广,第三方软件-暴风影音,1708,9,0.53%,2.93,0.33
2021-01-08,安徽宝家35,搜索推广,第三方软件-微信,825,9,1.09%,2.7,0.3
2021-01-08,安徽宝家35,搜索推广,第三方软件-微师客户端,236,17,7.2%,5.74,0.34
2021-01-08,安徽宝家35,搜索推广,第三方软件-EV录屏,769,5,0.65%,1.52,0.3
2021-01-08,安徽宝家35,搜索推广,第三方软件-搜狗输入法,82558,7062,8.55%,3475.36,0.49
2021-01-08,安徽宝家35,搜索推广,第三方软件-whatsapp,83,0,0%,0,0
2021-01-08,安徽宝家35,搜索推广,第三方软件-阿里旺旺,53,2,3.77%,0.6,0.3
2021-01-08,安徽宝家35,搜索推广,第三方软件-万能五笔,5387,300,5.57%,128.17,0.43
2021-01-08,安徽宝家35,搜索推广,第三方软件-芒果TV,574,4,0.7%,1.27,0.32
2021-01-08,安徽宝家35,搜索推广,第三方软件-千牛,7405,278,3.75%,108.44,0.39
2021-01-08,安徽宝家35,搜索推广,第三方软件-极品五笔输入法,2511,477,19%,208.45,0.44
2021-01-08,安徽宝家35,搜索推广,第三方软件-美图秀秀,23025,203,0.88%,81.52,0.4
2021-01-08,安徽宝家35,搜索推广,第三方软件-网易云音乐,10125,94,0.93%,28.2,0.3
2021-01-08,安徽宝家35,搜索推广,第三方软件-Rar解压软件,2690,41,1.52%,13.85,0.34
2021-01-08,安徽宝家35,搜索推广,第三方软件-WPS-word,15903,551,3.46%,185.99,0.34
2021-01-08,安徽宝家35,搜索推广,第三方软件-驱动精灵,15333,675,4.4%,270.88,0.4
2021-01-08,安徽宝家35,搜索推广,第三方软件-金山打字通,12276,459,3.74%,164.48,0.36
2021-01-08,安徽宝家35,搜索推广,第三方软件-瞩目,1393,47,3.37%,14.87,0.32
2021-01-08,安徽宝家35,搜索推广,第三方软件-我的世界,1459,110,7.54%,33.72,0.31
2021-01-08,安徽宝家35,搜索推广,公司软件-猎豹免费WIFI,967,38,3.93%,12.42,0.33
2021-01-08,安徽宝家35,搜索推广,公司软件-C盘瘦身,12252,571,4.66%,213.6,0.37
2021-01-08,安徽宝家35,搜索推广,第三方软件-钉钉电脑版,16756,57,0.34%,19.8,0.35
2021-01-08,安徽宝家35,搜索推广,第三方软件-FlashPlayer,6120,159,2.6%,60.49,0.38
