数据生成时间：2021-01-11 10:24
数据生成条件：
1. 时间范围：20210108至20210110
2. 时间单位：分日
3. 推广设备：计算机，移动设备

日期,账户,推广计划,推广计划ID,展现,点击,消费,点击率,平均点击价格,网页转化,商桥转化
"2021-01-10","星宁-wxjjljk-2","第三方软件-极光PDF阅读器",143021164,99147,2366,1997.09,2.39%,0.84,0,0
"2021-01-10","星宁-wxjjljk-2","第三方软件-极光PDF转换器",143021165,27563,207,128.30,0.75%,0.62,0,0
"2021-01-09","星宁-wxjjljk-2","第三方软件-极光PDF阅读器",143021164,99743,2544,2152.77,2.55%,0.85,0,0
"2021-01-09","星宁-wxjjljk-2","第三方软件-极光PDF转换器",143021165,31295,240,158.90,0.77%,0.66,0,0
"2021-01-08","星宁-wxjjljk-2","第三方软件-极光PDF阅读器",143021164,97196,2148,1771.58,2.21%,0.82,0,0
"2021-01-08","星宁-wxjjljk-2","第三方软件-极光PDF转换器",143021165,42206,397,246.28,0.94%,0.62,0,0
