数据生成时间：2021-01-11 10:33
数据生成条件：
1. 时间范围：20210108至20210110
2. 时间单位：分日
3. 推广设备：计算机，移动设备

日期,账户,推广计划,推广计划ID,展现,点击,消费,点击率,平均点击价格,网页转化,商桥转化
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-Rar解压软件",129173241,174699,10521,3981.56,6.02%,0.38,1,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-植物大战僵尸",122122231,53622,9654,3579.74,18.00%,0.37,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-植物大战僵尸",122122231,50754,8797,3268.36,17.33%,0.37,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-Rar解压软件",129173241,134908,7854,2919.10,5.82%,0.37,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-植物大战僵尸",122122231,44739,7938,2859.76,17.74%,0.36,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-Rar解压软件",129173241,129357,7283,2674.30,5.63%,0.37,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-我的世界",122408321,69925,6601,1754.60,9.44%,0.27,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-IE浏览器",132932873,54224,4371,1690.45,8.06%,0.39,1,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-向日葵",142779135,33284,6350,1615.25,19.08%,0.25,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-向日葵",142779135,31171,6094,1531.68,19.55%,0.25,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-我的世界",122408321,58390,5477,1439.40,9.38%,0.26,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-向日葵",142779135,25923,5069,1262.01,19.55%,0.25,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-IE浏览器",132932873,35332,2915,1144.63,8.25%,0.39,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-我的世界",122408321,47300,3736,991.29,7.90%,0.27,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-IE浏览器",132932873,32416,2471,976.68,7.62%,0.40,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-WPS-excel",124508595,153525,2628,947.66,1.71%,0.36,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-WPS-excel",124508595,129467,2540,909.79,1.96%,0.36,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-WPS-excel",124508595,216551,2443,888.85,1.13%,0.36,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-火狐浏览器",123633509,19941,2350,801.77,11.78%,0.34,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-酷我音乐",121786341,59038,1857,711.20,3.15%,0.38,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-钉钉电脑版",122544734,71381,1655,701.02,2.32%,0.42,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-酷我音乐",121786341,55613,1809,695.08,3.25%,0.38,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-酷我音乐",121786341,61089,1797,690.48,2.94%,0.38,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-钉钉电脑版",122544734,80581,1629,675.15,2.02%,0.41,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-美图秀秀",122902400,61336,2151,663.83,3.51%,0.31,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-迷你世界",128778675,24560,2439,645.36,9.93%,0.26,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-迷你世界",128778675,21264,2347,623.07,11.04%,0.27,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-钉钉电脑版",122544734,63909,1450,614.67,2.27%,0.42,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-WIFI共享大师",130088651,35329,2080,585.30,5.89%,0.28,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-火狐浏览器",123633509,15205,1605,552.37,10.56%,0.34,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-WIFI共享大师",130088651,29476,1925,537.05,6.53%,0.28,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-暴风影音",121786343,16369,1367,512.71,8.35%,0.38,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-WPS-word",124508597,145941,1621,505.63,1.11%,0.31,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-雷电模拟器",142779134,46078,2197,501.80,4.77%,0.23,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-火狐浏览器",123633509,13393,1460,500.99,10.90%,0.34,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-雷电模拟器",142779134,36887,2181,500.19,5.91%,0.23,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-WIFI共享大师",130088651,28156,1736,480.26,6.17%,0.28,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-美图秀秀",122902400,41835,1521,470.68,3.64%,0.31,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-驱动精灵",143077936,91122,1824,447.73,2.00%,0.25,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-微信",138933772,63154,1201,432.53,1.90%,0.36,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-暴风影音",121786343,15735,1174,428.57,7.46%,0.37,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-暴风影音",121786343,16029,1172,425.98,7.31%,0.36,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-QQ音乐",141902230,117733,1782,419.79,1.51%,0.24,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-WPS-word",124508597,88314,1368,419.29,1.55%,0.31,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-微信",138933772,77453,1090,414.45,1.41%,0.38,0,0
"2021-01-10","baidu-重庆天极A19KA02248","第三方软件-美图秀秀",122902400,41072,1315,410.08,3.20%,0.31,0,0
"2021-01-09","baidu-重庆天极A19KA02248","第三方软件-微信",138933772,63108,1110,406.27,1.76%,0.37,2,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-WPS",129173247,39116,1107,400.60,2.83%,0.36,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-迷你世界",128778675,16310,1505,400.30,9.23%,0.27,0,0
"2021-01-08","baidu-重庆天极A19KA02248","第三方软件-万能五笔",124508596,36404,772,399.02,2.12%,0.52,0,0
