数据生成时间：2020-12-31 11:24
数据生成条件：
1. 时间范围：20201230
2. 时间单位：合计
3. 推广设备：计算机，移动设备

日期,账户,推广计划,推广计划ID,展现,点击,消费,点击率,平均点击价格,网页转化,商桥转化
"2020-12-30","baidu-04海鸟B20KA02280","行业定投-我的世界",128778578,3383,304,91.11,8.99%,0.30,0,0
"2020-12-30","baidu-04海鸟B20KA02280","行业定投-金山打字通",128778582,8946,1345,425.22,15.03%,0.32,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方游戏-第五人格",128778586,973,77,23.28,7.91%,0.30,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-香肠派对",128778588,410,15,3.38,3.66%,0.23,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-优酷客户端",128778590,7497,173,53.63,2.31%,0.31,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-钉钉电脑版",128778593,4089,20,5.90,0.49%,0.29,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-谷歌浏览器",128778594,181296,12719,3928.02,7.02%,0.31,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-steam",128778597,1442,0,0.00,0.00%,0.00,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-QQ",128778600,26303,287,86.90,1.09%,0.30,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-QQ影音",128778602,7724,633,172.21,8.20%,0.27,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-QQ五笔",128778603,1566,180,47.19,11.49%,0.26,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-cad快速看图",128778605,9362,131,29.13,1.40%,0.22,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-IE浏览器",128778607,13033,195,51.36,1.50%,0.26,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-输入法-搜狗",128778609,63147,941,306.99,1.49%,0.33,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-千牛",128778615,10852,284,87.38,2.62%,0.31,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-酷我音乐",128778616,21114,615,167.21,2.91%,0.27,0,0
"2020-12-30","baidu-04海鸟B20KA02280","行业定投-拼音输入法",129326831,28108,1155,358.29,4.11%,0.31,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-WPS",131274891,10883,197,55.00,1.81%,0.28,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-微信",136207191,124130,5153,1962.45,4.15%,0.38,0,0
"2020-12-30","baidu-04海鸟B20KA02280","第三方软件-驱动精灵",142279757,47644,6156,1546.35,12.92%,0.25,0,0
