日期,推广账户,产品线,推广计划,展示次数,点击次数,点击率,总费用,平均每次点击费用
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-搜狗五笔,1252,40,3.19%,13.53,0.34
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-Rar解压软件,5442,51,0.94%,16.47,0.32
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-微师客户端,1347,55,4.08%,16.58,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-CAJViewer,778,30,3.86%,11.4,0.38
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-teamviewer,2557,34,1.33%,10.36,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-zoom视频会议,1871,25,1.34%,9.21,0.37
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-cctalk,1585,27,1.7%,9.47,0.35
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-逍遥笔手写输入法,1006,29,2.88%,10.13,0.35
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-FlashPlayer,4233,71,1.68%,24.1,0.34
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-光影魔术手,1240,70,5.65%,24.27,0.35
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-雷电模拟器,11402,193,1.69%,59.74,0.31
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-极品五笔输入法,2978,168,5.64%,63.33,0.38
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-搜狗输入法,10042,149,1.48%,63.86,0.43
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-QQ,23573,164,0.7%,49.33,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-阿里旺旺,1441,67,4.65%,28.18,0.42
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-全民K歌,2313,82,3.55%,25.08,0.31
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-WPS-word,3526,78,2.21%,25.3,0.32
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-QQ影音,2542,26,1.02%,8.03,0.31
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-极点五笔输入法,2300,25,1.09%,7.57,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-cad快速看图,612,3,0.49%,0.94,0.31
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-小鱼易连,542,4,0.74%,1.2,0.3
2021-01-10,bj猎豹移动2,搜索推广,公司软件-猎豹免费WIFI,56,4,7.14%,1.28,0.32
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-Visio,786,3,0.38%,0.9,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-陌陌电脑版,64,3,4.69%,0.9,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-腾讯会议,12,0,0%,0,0
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-网易邮箱大师,48,1,2.08%,0.3,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-whatsapp,9,2,22.22%,0.6,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-EV录屏,3209,4,0.12%,1.33,0.33
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-暴风影音,271,5,1.85%,1.5,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-芒果TV,238,8,3.36%,2.42,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-QQ拼音,647,11,1.7%,3.63,0.33
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-QQ五笔,580,13,2.24%,4,0.31
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-美图秀秀,2601,7,0.27%,2.39,0.34
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-万能五笔,530,5,0.94%,2.1,0.42
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-photoshopcs6,4676,5,0.11%,1.71,0.34
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-王者荣耀PC版,535,6,1.12%,1.8,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-香肠派对,2614,318,12.17%,98.08,0.31
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-荒野行动,3278,73,2.23%,21.91,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-金山打字通,17096,1377,8.05%,468.12,0.34
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-网易云音乐,7883,486,6.17%,145.8,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-钉钉电脑版,91502,1837,2.01%,642.19,0.35
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-向日葵,18973,510,2.69%,165.3,0.32
2021-01-10,bj猎豹移动2,搜索推广,公司软件-C盘瘦身,9206,402,4.37%,149.56,0.37
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-优酷客户端,16234,632,3.89%,189.6,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-驱动精灵,29225,559,1.91%,207.47,0.37
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-酷我音乐,8439,442,5.24%,132.6,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-我的世界,16561,1179,7.12%,353.7,0.3
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-千牛,6913,300,4.34%,120.1,0.4
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-WPS,185246,4164,2.25%,1671.45,0.4
2021-01-10,bj猎豹移动2,搜索推广,第三方软件-微信,31345,4539,14.48%,1363.9,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-向日葵,24552,642,2.61%,209.61,0.33
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-CAJViewer,877,24,2.74%,8.84,0.37
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-QQ影音,3473,28,0.81%,8.78,0.31
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-万能五笔,1000,14,1.4%,5.24,0.37
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-QQ拼音,1377,17,1.23%,5.57,0.33
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-暴风影音,404,24,5.94%,7.2,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-网易邮箱大师,171,0,0%,0,0
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-QQ,33380,359,1.08%,107.94,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-全民K歌,1985,54,2.72%,16.47,0.31
2021-01-09,bj猎豹移动2,搜索推广,公司软件-C盘瘦身,10426,491,4.71%,182.07,0.37
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-逍遥笔手写输入法,1400,46,3.29%,15.99,0.35
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-美图秀秀,4805,44,0.92%,14.87,0.34
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-芒果TV,514,16,3.11%,4.81,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-极点五笔输入法,3327,40,1.2%,12.21,0.31
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-QQ五笔,1001,31,3.1%,9.75,0.31
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-WPS,228501,4744,2.08%,1895.53,0.4
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-我的世界,22171,1776,8.01%,532.8,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-金山打字通,19553,1480,7.57%,500.54,0.34
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-腾讯会议,398,4,1.01%,1.2,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-Visio,625,4,0.64%,1.2,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-陌陌电脑版,99,3,3.03%,0.9,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-微信,27486,3620,13.17%,1087.94,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-cad快速看图,1197,4,0.33%,1.45,0.36
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-EV录屏,4527,5,0.11%,1.73,0.35
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-小鱼易连,694,13,1.87%,3.9,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-钉钉电脑版,97480,2025,2.08%,706.94,0.35
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-王者荣耀PC版,1273,13,1.02%,3.9,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-photoshopcs6,7666,6,0.08%,2.18,0.36
2021-01-09,bj猎豹移动2,搜索推广,公司软件-猎豹免费WIFI,100,6,6%,1.91,0.32
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-whatsapp,58,0,0%,0,0
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-驱动精灵,35393,670,1.89%,247.01,0.37
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-搜狗输入法,16948,447,2.64%,191.36,0.43
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-搜狗五笔,3200,72,2.25%,23.96,0.33
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-千牛,8804,412,4.68%,162.06,0.39
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-Rar解压软件,7484,73,0.98%,23.29,0.32
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-光影魔术手,1171,64,5.47%,22.37,0.35
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-teamviewer,3300,72,2.18%,21.92,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-网易云音乐,8377,527,6.29%,158.1,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-优酷客户端,16534,520,3.15%,156,0.3
