日期,推广账户,产品线,推广计划,展示次数,点击次数,点击率,总费用,平均每次点击费用
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-阿里旺旺,1685,86,5.1%,35.76,0.42
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-cctalk,1938,74,3.82%,25.72,0.35
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-FlashPlayer,6456,128,1.98%,43.53,0.34
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-荒野行动,4283,161,3.76%,48.33,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-香肠派对,3273,398,12.16%,121.54,0.31
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-酷我音乐,9440,548,5.81%,164.4,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-雷电模拟器,15666,257,1.64%,79.08,0.31
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-微师客户端,1255,62,4.94%,18.65,0.3
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-zoom视频会议,2627,54,2.06%,20.01,0.37
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-WPS-word,7115,215,3.02%,71.23,0.33
2021-01-09,bj猎豹移动2,搜索推广,第三方软件-极品五笔输入法,3956,177,4.47%,65.97,0.37
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-腾讯会议,763,5,0.66%,1.5,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-WPS-word,10279,288,2.8%,96.46,0.33
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-金山打字通,18679,1323,7.08%,451.24,0.34
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-优酷客户端,16143,283,1.75%,84.9,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-向日葵,34338,1197,3.49%,391.51,0.33
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-whatsapp,43,0,0%,0,0
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-teamviewer,5409,119,2.2%,36.45,0.31
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-Visio,1324,6,0.45%,1.8,0.3
2021-01-08,bj猎豹移动2,搜索推广,公司软件-猎豹免费WIFI,151,4,2.65%,1.34,0.34
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-搜狗五笔,6604,114,1.73%,38.36,0.34
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-网易邮箱大师,318,1,0.31%,0.3,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-酷我音乐,9512,479,5.04%,143.65,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-荒野行动,3327,112,3.37%,33.63,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-陌陌电脑版,74,3,4.05%,0.9,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-网易云音乐,5359,230,4.29%,69,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-香肠派对,1885,191,10.13%,58.33,0.31
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-FlashPlayer,8155,161,1.97%,55.17,0.34
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-钉钉电脑版,109524,2612,2.38%,912.55,0.35
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-阿里旺旺,1972,117,5.93%,48.61,0.42
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-雷电模拟器,12446,164,1.32%,50.18,0.31
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-极品五笔输入法,4557,227,4.98%,84.12,0.37
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-cctalk,2218,84,3.79%,28.69,0.34
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-WPS,285928,6273,2.19%,2506.33,0.4
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-QQ影音,4203,36,0.86%,11.14,0.31
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-QQ拼音,1646,31,1.88%,10.21,0.33
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-千牛,9666,513,5.31%,203.14,0.4
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-QQ五笔,1109,28,2.52%,8.76,0.31
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-万能五笔,1548,25,1.61%,10.01,0.4
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-我的世界,11145,633,5.68%,189.9,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-极点五笔输入法,4037,39,0.97%,11.87,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-微师客户端,998,60,6.01%,18.01,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-全民K歌,1760,58,3.3%,17.75,0.31
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-CAJViewer,1176,42,3.57%,15.74,0.37
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-美图秀秀,6007,59,0.98%,19.82,0.34
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-zoom视频会议,3573,60,1.68%,21.91,0.37
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-photoshopcs6,4715,23,0.49%,8.1,0.35
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-QQ,31388,701,2.23%,210.61,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-王者荣耀PC版,1422,12,0.84%,3.6,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-驱动精灵,41076,762,1.86%,276.96,0.36
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-cad快速看图,1641,8,0.49%,3.05,0.38
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-EV录屏,4782,8,0.17%,2.61,0.33
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-微信,16533,973,5.89%,292.67,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-逍遥笔手写输入法,1688,50,2.96%,17.24,0.34
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-Rar解压软件,7680,89,1.16%,28.61,0.32
2021-01-08,bj猎豹移动2,搜索推广,公司软件-C盘瘦身,12246,589,4.81%,220.53,0.37
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-芒果TV,676,26,3.85%,7.82,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-光影魔术手,2845,73,2.57%,25.46,0.35
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-暴风影音,265,15,5.66%,4.5,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-小鱼易连,1115,14,1.26%,4.2,0.3
2021-01-08,bj猎豹移动2,搜索推广,第三方软件-搜狗输入法,19776,697,3.52%,301.17,0.43
