数据生成时间：2021-01-11 10:35
数据生成条件：
1. 时间范围：20210108至20210110
2. 时间单位：分日
3. 推广设备：计算机，移动设备

日期,账户,推广计划,推广计划ID,展现,点击,消费,点击率,平均点击价格,网页转化,商桥转化
"2021-01-08","baidu-4重庆天极B20KA03223","壁纸-行业词",132517086,621218,15958,4732.08,2.57%,0.30,0,0
"2021-01-09","baidu-4重庆天极B20KA03223","壁纸-行业词",132517086,528187,14888,4476.33,2.82%,0.30,0,0
"2021-01-10","baidu-4重庆天极B20KA03223","壁纸-行业词",132517086,502193,13941,4216.44,2.78%,0.30,0,0
"2021-01-08","baidu-4重庆天极B20KA03223","公司软件-桌面壁纸4",129899372,147329,7350,1829.70,4.99%,0.25,1,0
"2021-01-10","baidu-4重庆天极B20KA03223","公司软件-桌面壁纸4",129899372,127087,6902,1779.45,5.43%,0.26,0,0
"2021-01-09","baidu-4重庆天极B20KA03223","公司软件-桌面壁纸4",129899372,127467,7006,1767.14,5.50%,0.25,0,0
"2021-01-08","baidu-4重庆天极B20KA03223","公司软件-电脑桌面壁纸10",130507725,90983,4317,1176.78,4.74%,0.27,0,0
"2021-01-08","baidu-4重庆天极B20KA03223","行业定投-壁纸",132678735,43194,3501,1065.52,8.11%,0.30,0,0
"2021-01-09","baidu-4重庆天极B20KA03223","公司软件-电脑桌面壁纸10",130507725,73013,3691,1018.79,5.06%,0.28,0,0
"2021-01-10","baidu-4重庆天极B20KA03223","公司软件-电脑桌面壁纸10",130507725,79577,3643,988.29,4.58%,0.27,0,0
"2021-01-09","baidu-4重庆天极B20KA03223","壁纸-竞品软件",132342399,26533,3903,986.89,14.71%,0.25,0,0
"2021-01-10","baidu-4重庆天极B20KA03223","壁纸-竞品软件",132342399,26481,3885,977.06,14.67%,0.25,0,0
"2021-01-09","baidu-4重庆天极B20KA03223","行业定投-壁纸",132678735,38231,3083,940.65,8.06%,0.31,0,0
"2021-01-10","baidu-4重庆天极B20KA03223","行业定投-壁纸",132678735,37038,2877,876.27,7.77%,0.30,0,0
"2021-01-08","baidu-4重庆天极B20KA03223","公司软件-高清壁纸5",130082124,97020,3787,828.38,3.90%,0.22,0,0
"2021-01-08","baidu-4重庆天极B20KA03223","壁纸-竞品软件",132342399,25414,2960,773.36,11.65%,0.26,0,0
"2021-01-09","baidu-4重庆天极B20KA03223","公司软件-高清壁纸5",130082124,82378,3107,708.03,3.77%,0.23,0,0
"2021-01-10","baidu-4重庆天极B20KA03223","公司软件-电脑壁纸3",130082123,81508,2488,686.10,3.05%,0.28,0,0
"2021-01-08","baidu-4重庆天极B20KA03223","公司软件-动态壁纸1",129556498,35720,1858,647.42,5.20%,0.35,0,0
"2021-01-08","baidu-4重庆天极B20KA03223","公司软件-电脑桌面9",130507726,77452,2290,636.83,2.96%,0.28,0,0
