日期,推广账户,产品线,推广计划,展示次数,点击次数,点击率,总费用,平均每次点击费用
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-美图秀秀,4190,15,0.36%,5.4,0.36
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-微师客户端,307,23,7.49%,6.97,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-暴风影音,468,15,3.21%,4.5,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-搜狗五笔,1996,12,0.6%,4.06,0.34
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-QQ五笔,712,9,1.26%,2.83,0.31
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-QQ拼音,1331,22,1.65%,7.02,0.32
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-逍遥笔手写输入法,1072,21,1.96%,7.36,0.35
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-极点五笔输入法,4514,36,0.8%,10.98,0.31
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-光影魔术手,809,33,4.08%,11.55,0.35
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-网易云音乐,6140,36,0.59%,10.8,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-zoom视频会议,2933,28,0.95%,10.39,0.37
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-CAJViewer,801,22,2.75%,8.59,0.39
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-EV录屏,5745,7,0.12%,2.16,0.31
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-万能五笔,474,5,1.05%,2.06,0.41
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-陌陌电脑版,130,0,0%,0,0
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-网易邮箱大师,154,1,0.65%,0.3,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-腾讯会议,8,0,0%,0,0
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-王者荣耀PC版,574,0,0%,0,0
2020-12-30,bj猎豹移动2,搜索推广,公司软件-猎豹免费WIFI,26,0,0%,0,0
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-whatsapp,7,1,14.29%,0.3,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-photoshopcs6,2401,2,0.08%,0.66,0.33
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-芒果TV,99,6,6.06%,1.89,0.32
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-cad快速看图,1372,5,0.36%,1.83,0.37
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-小鱼易连,168,6,3.57%,1.8,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-Visio,786,5,0.64%,1.5,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-QQ影音,4788,39,0.81%,12.13,0.31
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-QQ,143937,53,0.04%,15.94,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-酷我音乐,9561,334,3.49%,100.1,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-千牛,10037,403,4.02%,161.93,0.4
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-微信,25333,319,1.26%,96.13,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-优酷客户端,21562,258,1.2%,77.4,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-我的世界,6934,223,3.22%,66.9,0.3
2020-12-30,bj猎豹移动2,搜索推广,公司软件-C盘瘦身,9815,454,4.63%,170.25,0.38
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-搜狗输入法,14397,405,2.81%,199.24,0.49
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-WPS-excel,25089,1187,4.73%,441.77,0.37
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-金山打字通,16753,877,5.23%,300.14,0.34
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-驱动精灵,33590,559,1.66%,208.59,0.37
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-向日葵,29786,631,2.12%,205.26,0.33
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-FlashPlayer,5249,156,2.97%,53.6,0.34
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-全民K歌,4423,165,3.73%,50.03,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-cctalk,2059,73,3.55%,24.91,0.34
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-瞩目,2419,78,3.22%,26.7,0.34
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-阿里旺旺,1216,53,4.36%,22.5,0.42
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-荒野行动,2346,70,2.98%,21.03,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-WPS-word,4537,58,1.28%,19.2,0.33
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-极品五笔输入法,6308,84,1.33%,31.64,0.38
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-雷电模拟器,8261,108,1.31%,33.72,0.31
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-钉钉电脑版,47447,140,0.3%,48.94,0.35
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-Rar解压软件,11651,133,1.14%,42.33,0.32
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-teamviewer,6449,130,2.02%,39.58,0.3
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-香肠派对,1040,111,10.67%,34.35,0.31
2020-12-30,bj猎豹移动2,搜索推广,第三方软件-WPS,304912,6636,2.18%,2828.64,0.43
