数据生成时间：2021-01-11 10:27
数据生成条件：
1. 时间范围：20210108至20210110
2. 时间单位：分日
3. 推广设备：计算机，移动设备

日期,账户,推广计划,推广计划ID,展现,点击,消费,点击率,平均点击价格,网页转化,商桥转化
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-驱动精灵",142279757,62448,6926,2016.91,11.09%,0.29,0,0
"2021-01-09","baidu-04海鸟B20KA02280","第三方软件-驱动精灵",142279757,55298,6350,2003.71,11.48%,0.32,0,0
"2021-01-10","baidu-04海鸟B20KA02280","第三方软件-驱动精灵",142279757,55202,6472,2002.00,11.72%,0.31,0,0
"2021-01-10","baidu-04海鸟B20KA02280","第三方软件-微信",136207191,71559,3576,1455.99,5.00%,0.41,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-微信",136207191,100418,3058,1298.53,3.05%,0.42,0,0
"2021-01-09","baidu-04海鸟B20KA02280","第三方软件-微信",136207191,71147,2959,1195.85,4.16%,0.40,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-谷歌浏览器",128778594,170552,3316,985.42,1.94%,0.30,0,0
"2021-01-09","baidu-04海鸟B20KA02280","第三方软件-谷歌浏览器",128778594,127593,2264,625.80,1.77%,0.28,0,0
"2021-01-10","baidu-04海鸟B20KA02280","第三方软件-谷歌浏览器",128778594,118428,2239,619.61,1.89%,0.28,0,0
"2021-01-08","baidu-04海鸟B20KA02280","行业定投-金山打字通",128778582,8513,1393,472.85,16.36%,0.34,0,0
"2021-01-09","baidu-04海鸟B20KA02280","行业定投-拼音输入法",129326831,30046,1131,361.98,3.76%,0.32,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-输入法-搜狗",128778609,93051,1056,349.65,1.13%,0.33,0,0
"2021-01-10","baidu-04海鸟B20KA02280","行业定投-拼音输入法",129326831,29476,1072,343.51,3.64%,0.32,0,0
"2021-01-08","baidu-04海鸟B20KA02280","行业定投-拼音输入法",129326831,27483,879,281.12,3.20%,0.32,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-QQ影音",128778602,7400,569,156.12,7.69%,0.27,0,0
"2021-01-08","baidu-04海鸟B20KA02280","行业定投-我的世界",128778578,4421,512,153.54,11.58%,0.30,0,0
"2021-01-10","baidu-04海鸟B20KA02280","第三方软件-酷我音乐",128778616,17705,519,142.20,2.93%,0.27,0,0
"2021-01-09","baidu-04海鸟B20KA02280","第三方软件-酷我音乐",128778616,17265,503,139.22,2.91%,0.28,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-千牛",128778615,15306,454,139.06,2.97%,0.31,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-酷我音乐",128778616,18078,467,128.99,2.58%,0.28,0,0
"2021-01-09","baidu-04海鸟B20KA02280","公司软件-金山打字通",128778581,5713,448,116.38,7.84%,0.26,0,0
"2021-01-10","baidu-04海鸟B20KA02280","公司软件-金山打字通",128778581,5477,395,100.00,7.21%,0.25,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-IE浏览器",128778607,20489,291,74.91,1.42%,0.26,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-QQ五笔",128778603,1854,200,53.58,10.79%,0.27,0,0
"2021-01-09","baidu-04海鸟B20KA02280","第三方软件-QQ五笔",128778603,1596,167,44.01,10.46%,0.26,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方游戏-第五人格",128778586,1313,120,36.47,9.14%,0.30,0,0
"2021-01-08","baidu-04海鸟B20KA02280","公司软件-金山打字通",128778581,1353,137,35.50,10.13%,0.26,0,0
"2021-01-10","baidu-04海鸟B20KA02280","第三方软件-QQ五笔",128778603,1469,132,34.51,8.99%,0.26,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-优酷客户端",128778590,7013,98,31.50,1.40%,0.32,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-QQ",128778600,6783,84,23.78,1.24%,0.28,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-WPS",131274891,4093,38,9.44,0.93%,0.25,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-cad快速看图",128778605,4160,33,7.39,0.79%,0.22,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-香肠派对",128778588,160,10,2.43,6.25%,0.24,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-钉钉电脑版",128778593,2045,2,0.53,0.10%,0.27,0,0
"2021-01-09","baidu-04海鸟B20KA02280","第三方软件-优酷客户端",128778590,1,1,0.38,100.00%,0.38,0,0
"2021-01-09","baidu-04海鸟B20KA02280","第三方软件-QQ影音",128778602,1,1,0.26,100.00%,0.26,0,0
"2021-01-08","baidu-04海鸟B20KA02280","第三方软件-steam",128778597,211,0,0.00,0.00%,0.00,0,0
